id,dataset,hedges,ghypart_k2,ghypart_k3,ghypart_k4,bipart_k1,bipart_k2,bipart_k3,mtkahypar_k2,mtkahypar_k3,mtkahypar_k4,hmetis_k2,hmetis_k3,hmetis_k4
415,Pres,14822,646.0,2028.0,1970.0,646.0,2028.0,1970.0,506.0,1100.0,1460.0,408,816,1176
416,psse2,28634,150.0,380.0,506.0,150.0,380.0,506.0,98.0,214.0,294.0,80,182,232
417,qa8fk,66127,968.0,5360.0,8922.0,968.0,5067.0,8425.0,846.0,5963.0,6384.0,670,4048,4718
418,rajat,51032,40.0,364.0,327.0,40.0,241.0,327.0,27.0,98.0,162.0,27,159,163
419,Reuters,13314,5574.0,11566.0,14611.0,5574.0,11782.0,14611.0,7827.0,7310.0,7814.0,3247,5144,6419
420,RFdevice,74104,2118.0,3665.0,5690.0,2118.0,3641.0,5690.0,2034.0,3460.0,4054.0,1743,2988,3437
421,rgg,262141,1294.0,3520.0,2932.0,1294.0,3400.0,2846.0,980.0,1515.0,1842.0,895,1448,1749
422,rim,22560,544.0,853.0,1817.0,544.0,2111.0,1817.0,436.0,657.0,951.0,382,575,766
423,rma,46835,521.0,2049.0,2238.0,534.0,2081.0,2549.0,483.0,778.0,1106.0,374,750,1700
424,Rucci,1977885,44255.0,105714.0,116635.0,56507.0,113110.0,118625.0,32943.0,62480.0,73071.0,32706,51129,71208
425,s4dkt,90449,1458.0,3363.0,3912.0,1458.0,3363.0,5793.0,1350.0,2736.0,3414.0,1206,2316,3060
426,scfxm,37980,991.0,1892.0,2039.0,991.0,1892.0,2039.0,991.0,1351.0,1530.0,936,1274,1451
427,scircuit,170998,77.0,1336.0,1032.0,64.0,476.0,1289.0,45.0,250.0,288.0,42,145,298
428,shallow,81920,794.0,1753.0,2583.0,794.0,1753.0,2119.0,777.0,1201.0,1529.0,640,1021,1326
429,sherman,18510,6374.0,10609.0,17909.0,6374.0,10609.0,17945.0,5547.0,8053.0,9548.0,4875,7125,8360
430,ship,34920,1566.0,8424.0,5316.0,1584.0,5496.0,7977.0,1164.0,2406.0,3888.0,31518,21434,21975
431,shock,36476,274.0,1033.0,1100.0,407.0,1206.0,1581.0,248.0,485.0,628.0,212,395,514
432,shyy,76480,339.0,906.0,1093.0,339.0,906.0,1083.0,160.0,160.0,686.0,160,160,627
433,skirt,12598,60.0,190.0,110.0,60.0,172.0,110.0,12.0,47.0,106.0,12,32,54
434,sme3D,29067,1068.0,9711.0,7338.0,1068.0,7236.0,7308.0,498.0,2424.0,4047.0,432,2406,3537
435,soc-sign,95318,1405.0,13977.0,13771.0,1405.0,13977.0,14383.0,3985.0,16509.0,15744.0,4751,9085,12749
436,sparsine,50000,20498.0,37476.0,50169.0,20498.0,37476.0,50099.0,18630.0,25728.0,30163.0,17262,24400,29418
437,spmsrtls,29995,120.0,1261.0,348.0,120.0,1261.0,348.0,6.0,12.0,18.0,6,12,18
438,std1_Jac3,21982,1449.0,5261.0,4933.0,1449.0,5618.0,3930.0,1688.0,3268.0,3791.0,3835,4676,4487
439,stokes,49666,976.0,1699.0,3477.0,976.0,1699.0,3155.0,789.0,1464.0,1662.0,644,1089,1279
440,ted_A,10605,138.0,812.0,600.0,138.0,812.0,600.0,84.0,213.0,273.0,84,168,252
441,TF16,15437,5291.0,14584.0,18949.0,5575.0,12302.0,17679.0,5423.0,8429.0,9910.0,4647,7861,9729
442,thermal,82654,346.0,714.0,1010.0,354.0,1351.0,1842.0,304.0,553.0,852.0,247,497,740
443,therm,102158,338.0,1004.0,1483.0,927.0,828.0,2105.0,314.0,681.0,980.0,277,572,848
444,tmt,917825,2430.0,9643.0,7084.0,2414.0,9638.0,7389.0,2270.0,3694.0,4572.0,1525,2458,3048
445,tomogra,45908,3514.0,5961.0,8502.0,3514.0,6015.0,8159.0,2306.0,3582.0,5044.0,1922,3269,4402
446,torso,259156,7994.0,12568.0,18124.0,7994.0,12568.0,18104.0,7374.0,11135.0,12971.0,5762,7169,10048
447,Trec,3159,3079.0,5558.0,8432.0,3079.0,5558.0,8432.0,2996.0,3052.0,3004.0,3157,3157,3157
448,Trefe,20000,16930.0,35549.0,48654.0,17375.0,36293.0,47650.0,16337.0,18991.0,19048.0,13472,16811,18148
449,TSOPF,30798,14083.0,25516.0,26661.0,14083.0,24955.0,27200.0,8667.0,11040.0,12387.0,7575,11897,11073
450,us04,163,91.0,170.0,0.0,91.0,170.0,276.0,82.0,90.0,100.0,144,143,150
451,usroads,129164,220.0,433.0,553.0,244.0,412.0,792.0,107.0,268.0,333.0,79,176,248
452,venkat,62424,888.0,1356.0,2536.0,888.0,1860.0,2496.0,652.0,1148.0,1504.0,552,972,1328
453,vibro,12328,2933.0,7405.0,8742.0,2933.0,7292.0,8742.0,2530.0,3888.0,4779.0,1990,3308,3796
454,plastic,32769,1714.0,3694.0,4550.0,1773.0,4201.0,5742.0,1619.0,2784.0,3164.0,1519,2433,2958
455,rocks,37762,482.0,2796.0,3048.0,482.0,2796.0,3048.0,432.0,846.0,1334.0,326,652,978
456,wave3D,21036,329.0,1125.0,1901.0,769.0,1467.0,2401.0,316.0,742.0,1365.0,278,638,1050
457,wathen120,36441,666.0,1401.0,2762.0,929.0,1791.0,2726.0,638.0,1189.0,1418.0,503,873,1098
458,water,60740,4883.0,8074.0,11115.0,4670.0,7363.0,9952.0,4797.0,5732.0,8243.0,3026,4371,5974
459,wang4,26068,2003.0,4885.0,4548.0,2003.0,4169.0,5656.0,1740.0,2834.0,3312.0,1740,2051,2953
460,xenon,157464,4314.0,9348.0,14132.0,4213.0,11295.0,12555.0,3758.0,7853.0,9187.0,2994,5963,7527
461,Zhao,33861,728.0,1606.0,2425.0,728.0,1606.0,2425.0,730.0,1466.0,1840.0,614,1234,1593
462,G67,10000,0.0,579.0,477.0,0.0,475.0,477.0,0.0,386.0,406.0,0,300,400
463,af101,503625,4405.0,6835.0,11110.0,4405.0,6835.0,11110.0,1820.0,3915.0,5735.0,1700,3400,5100
464,eco1,1000000,2899.0,4304.0,6234.0,2899.0,4304.0,7675.0,2078.0,3497.0,4259.0,2000,2694,3706
465,ibm18,201920,2385.0,4392.0,6299.0,2385.0,4392.0,5836.0,2146.0,3115.0,3492.0,1651,2515,3031
466,ibm17,189581,3130.0,9149.0,9404.0,3080.0,7592.0,8568.0,2788.0,5125.0,6555.0,2249,5216,5414
467,web1M,1000005,624.0,3640.0,3137.0,624.0,3603.0,3556.0,642.0,2243.0,2675.0,868,2157,2644
468,nl120,3542400,98010.0,178681.0,227285.0,98010.0,178681.0,225383.0,88850.0,144612.0,170546.0,2644,2644,2644
469,sat_p,13378010,350004.0,1512276.0,1946154.0,,,,362372.0,1098255.0,1647550.0,segfault,segfault,segfault
470,wbedu,6920306,13853.0,58006.0,81358.0,13853.0,58006.0,81358.0,13321.0,51457.0,62552.0,75027,,
471,Stanf,261588,216.0,503.0,3114.0,216.0,498.0,2926.0,108.0,216.0,507.0,1478,997,2226
472,gene2,14340,12687.0,25627.0,37915.0,12687.0,25627.0,37915.0,11758.0,13276.0,13333.0,11965,12931,13193
473,Hamr3,1447360,2546.0,7755.0,15758.0,2573.0,8465.0,18279.0,1750.0,5992.0,5442.0,1280,4390,3840
474,StocF,1465137,7992.0,53204.0,18299.0,7992.0,34392.0,24001.0,5941.0,23354.0,12744.0,4688,16383,9653
475,lang,399130,21286.0,35180.0,48254.0,21286.0,35180.0,48239.0,19958.0,31159.0,31121.0,12522,18320,21053
476,kron,55321,17055.0,40373.0,57308.0,17055.0,40373.0,56913.0,37983.0,30705.0,37973.0,11563,18960,24824
477,case39,40216,14069.0,21639.0,32759.0,12734.0,22176.0,33363.0,10959.0,14681.0,15960.0,9067,12207,14077
478,dac9,833808,4504.0,6140.0,10528.0,4504.0,6140.0,10528.0,2352.0,4322.0,5606.0,3322,4210,4814
479,dac12,1293436,9848.0,16430.0,21318.0,9848.0,16430.0,21318.0,5986.0,9555.0,11496.0,5227,7586,9694
480,dac19,511685,1686.0,4687.0,7790.0,3082.0,38428.0,12421.0,1434.0,4069.0,5371.0,1058,2572,3751
481,tran4,116835,55401.0,120772.0,93931.0,55401.0,120772.0,93931.0,55808.0,75290.0,85693.0,51573,69739,80534
482,Cheb4,68121,1426.0,5673.0,3268.0,1426.0,5673.0,3268.0,1044.0,3592.0,3714.0,1092,2812,2120
483,sat_d,521147,8832.0,14673.0,29749.0,15394.0,23366.0,32498.0,5689.0,7666.0,15845.0,2120,2120,2120
484,HV15R,2017169,70635.0,259469.0,293552.0,70635.0,259469.0,293552.0,63914.0,146641.0,177219.0,2120,2120,2120
485,gupta2,62064,18016.0,45173.0,63914.0,34403.0,52391.0,64257.0,18540.0,32688.0,38231.0,18160,29284,33339
486,ASIC,682862,341886.0,665941.0,640654.0,341886.0,657895.0,640654.0,329317.0,453659.0,510559.0,33339,33339,33339
487,ASIC320k,321821,174996.0,300203.0,361491.0,174996.0,300203.0,361491.0,155777.0,212619.0,240011.0,146003,197271,226376
488,wiki-Talk,147602,8705.0,12769.0,18161.0,8705.0,12769.0,18161.0,906.0,9581.0,10577.0,11050,10709,11592
489,com-Youtube,1134890,86986.0,158782.0,225188.0,83205.0,176457.0,223109.0,113567.0,145970.0,120716.0,,,
490,Freescal,3428755,2881.0,3859.0,4824.0,2881.0,3932.0,4853.0,1015.0,2099.0,2365.0,731,1558,1608
491,roadNet-CA,1965206,573.0,1250.0,1640.0,573.0,1250.0,1728.0,263.0,471.0,900.0,235,382,629
492,delaunay23,8388608,9123.0,15578.0,21036.0,9123.0,15780.0,21647.0,6088.0,10113.0,12204.0,629,629,629
493,coPapersDBLP,540486,205990.0,396755.0,567831.0,205244.0,397934.0,561979.0,161100.0,212471.0,220630.0,177536,228140,236128
494,dc1,116835,55401.0,120772.0,93931.0,55401.0,120772.0,93931.0,55808.0,75290.0,85693.0,51598,69797,79646
495,channel,4802000,28343.0,112361.0,95837.0,28343.0,112361.0,95837.0,29432.0,59250.0,92006.0,79646,79646,79646
496,as-Skitter,1696415,178517.0,350915.0,369261.0,178517.0,350915.0,369261.0,135110.0,172653.0,201739.0,79646,79646,79646
497,ASIC_100k,99340,50699.0,84464.0,105272.0,50699.0,84464.0,105272.0,48844.0,66746.0,74868.0,45289,61381,70295
498,dc2,116835,55401.0,120772.0,93931.0,55401.0,120772.0,93931.0,55808.0,75290.0,85693.0,51511,69787,79603
499,tran5,116835,55401.0,120772.0,93931.0,55401.0,120772.0,93931.0,55808.0,75290.0,85693.0,51722,69874,80532
45,sat_bug8_p,0,,,,354839.0,354839.0,354839.0,,,,,,
469,sat_p,0,,,,225383.0,225383.0,225383.0,,,,,,
489,com-Youtube,0,,,,,,,,,,101927,102990,133839
