id,dataset,hedges,ghypart_k2,ghypart_k3,ghypart_k4,bipart_k1,bipart_k2,bipart_k3,mtkahypar_k2,mtkahypar_k3,mtkahypar_k4,hmetis_k2,hmetis_k3,hmetis_k4
108,sat_bob_p,77920,2039.0,4705.0,5107.0,2039.0,4705.0,5107.0,2339.0,2752.0,4355.0,1732,2469,3541
109,sat_c10_d,133998,1496.0,1736.0,3333.0,1496.0,1736.0,3398.0,632.0,1264.0,1289.0,712,1138,1527
110,sat_c10,398467,6731.0,14196.0,16012.0,6731.0,14196.0,16012.0,5133.0,10795.0,11848.0,5215,9208,10970
111,sat_c10_p,398467,7909.0,13741.0,19766.0,7909.0,13741.0,19766.0,5385.0,10121.0,11288.0,4852,8832,11301
112,sat_count_d,18607,117.0,373.0,400.0,117.0,235.0,385.0,104.0,183.0,266.0,96,160,224
113,sat_count,55724,329.0,949.0,1012.0,379.0,866.0,994.0,390.0,591.0,972.0,289,512,735
114,sat_count_p,55724,424.0,726.0,1074.0,424.0,726.0,1074.0,331.0,629.0,882.0,303,526,749
115,sat_ctl_d,8806,982.0,2285.0,2510.0,982.0,2285.0,2510.0,720.0,1054.0,1457.0,2285,2207,1430
116,sat_ctl,90812,0.0,2758.0,3990.0,0.0,3187.0,3722.0,0.0,20.0,2116.0,0,0,1983
117,sat_ctl_p,90812,0.0,16116.0,17492.0,1710.0,20184.0,7018.0,0.0,40.0,4177.0,0,0,3227
118,sat_ctl_5_d,15232,2985.0,10628.0,10703.0,2985.0,10628.0,10703.0,2142.0,2705.0,3664.0,3805,3655,4639
119,sat_ctl_5,134756,5096.0,14165.0,11505.0,5096.0,10346.0,12531.0,4170.0,7861.0,10959.0,4170,6769,9867
120,sat_ctl_5_p,134756,4950.0,9677.0,13975.0,4950.0,9677.0,12093.0,4170.0,7965.0,10771.0,4170,6851,9976
121,sat_dated_11_d,141860,3526.0,7779.0,8222.0,3743.0,7774.0,8928.0,1817.0,2564.0,2998.0,1487,2097,2528
122,sat_dated_11,629461,10089.0,16021.0,18184.0,10089.0,16021.0,18184.0,4365.0,6429.0,7327.0,4197,5724,6851
123,sat_dated_11_p,629461,8158.0,15720.0,14404.0,8158.0,15321.0,14398.0,6027.0,8754.0,10405.0,5195,7761,9190
124,sat_dated_17_d,229544,6684.0,10969.0,13883.0,6684.0,10969.0,13883.0,2721.0,4238.0,4771.0,2426,3353,3941
