id,dataset,total_hyperedges,k=2,k=3,k=4,
467,web1M,1000005,624,3640,3137,
468,nl120,3542400,163619,226180,331965,
469,sat_p,521147,409205,1783509,1839060,
470,wbedu,9845725,14097,88573,84376,
471,Stanf,281903,420,313,1117,
472,gene2,14340,13538,25111,40135,
473,Hamr3,1447360,5870,7677,16363,
474,StocF,1465137,7992,53204,18299,
475,lang,399130,35816,50636,56578,
476,kron,65536,23448,46679,64475,
477,case39,40216,21585,29355,41702,
478,dac9,844332,5174,7348,10107,
479,dac12,1291931,15286,26113,21385,
480,dac19,522482,3273,10874,12304,
481,tran4,116835,70442,102461,132651,
482,Cheb4,68121,16457,18107,22149,
483,sat_d,13378010,116709,90041,194930,
484,HV15R,2017169,156657,193002,316456,
485,gupta2,62064,18906,39964,57607,
486,ASIC,682862,346057,610304,644195,
487,ASIC320k,321821,193362,336301,388631,
488,wiki-Talk,2394385,15309,20358,31438,
489,com-Youtube,1134890,86986,158782,225188,
490,Freescal,3428755,4687,5962,7340,
491,roadNet-CA,1971281,1531,2319,2219,
492,delaunay23,8388608,9679,17704,21458,
493,coPapersDBLP,540486,220407,386690,566546,
494,dc1,116835,70442,102461,132651,
495,channel,4802000,58621,166105,142254,
496,as-Skitter,1696415,224486,394344,467563,
497,ASIC_100k,99340,50699,84464,105272,
498,dc2,116835,70442,102461,132651,
499,tran5,116835,70442,102461,132651,
