id,dataset,k=2,k=3,k=4,
97,sat_enc3_opt2_14_d,2.496,4.971,6.459,
98,sat_enc3_opt2_14,4.446,7.372,9.968,
99,sat_enc3_opt2_14_p,3.984,7.623,9.247,
100,sat_blocks_d,3.672,6.453,9.806,
101,sat_blocks,10.874,18.945,23.919,
102,sat_blocks_p,11.878,20.11,25.745,
103,sat_bob-opt_d,0.077,0.167,0.204,
104,sat_bob-opt,0.156,0.298,0.426,
105,sat_bob-opt_p,0.229,0.308,0.429,
106,sat_bob_d,0.049,0.085,0.124,
107,sat_bob,0.101,0.208,0.284,
108,sat_bob_p,0.094,0.145,0.218,
109,sat_c10_d,0.22,0.469,0.642,
110,sat_c10,0.697,0.952,1.614,
111,sat_c10_p,0.535,0.793,1.135,
112,sat_count_d,0.04,0.119,0.102,
113,sat_count,0.087,0.137,0.199,
114,sat_count_p,0.066,0.106,0.164,
115,sat_ctl_d,0.034,0.081,0.122,
116,sat_ctl,0.113,0.194,0.271,
117,sat_ctl_p,0.123,0.227,0.275,
118,sat_ctl_5_d,0.077,0.163,0.187,
119,sat_ctl_5,0.221,0.58,0.572,
120,sat_ctl_5_p,0.308,0.448,0.585,
121,sat_dated_11_d,0.359,0.836,0.985,
122,sat_dated_11,0.628,0.953,1.295,
123,sat_dated_11_p,0.594,1.042,1.14,
124,sat_dated_17_d,0.557,1.363,1.306,
125,sat_dated_17,1.128,1.875,2.291,
126,sat_dated_17_p,1.228,1.776,2.238,
127,sat_E02F20_d,0.217,0.972,0.564,
128,sat_E02F20,0.191,0.426,0.508,
129,sat_E02F20_p,0.188,0.428,0.529,
130,sat_E02F22_d,0.904,7.695,4.152,
131,sat_E02F22,0.579,1.205,1.617,
132,sat_E02F22_p,0.58,1.341,1.524,
133,sat_gss-18_d,0.055,0.087,0.113,
134,sat_gss-18,0.141,0.192,0.296,
135,sat_gss-18_p,0.116,0.182,0.249,
136,sat_gss-19_d,0.054,0.091,0.111,
137,sat_gss-19,0.135,0.195,0.301,
138,sat_gss-19_p,0.17,0.26,0.323,
139,sat_gss-20_d,0.052,0.099,0.12,
140,sat_gss-20,0.168,0.224,0.357,
141,sat_gss-20_p,0.144,0.256,0.264,
142,sat_gss-22_d,0.06,0.143,0.121,
143,sat_gss-22,0.119,0.264,0.263,
144,sat_gss-22_p,0.183,0.201,0.342,
145,sat_k45_d,0.341,0.578,0.728,
146,sat_k45,0.402,0.763,0.995,
147,sat_k45_p,0.315,0.575,0.747,
148,sat_itox_d,0.262,0.539,0.79,
149,sat_itox,0.499,0.861,1.402,
150,sat_itox_p,0.442,0.899,1.146,
151,sat_k2fix_d,0.155,0.368,0.929,
152,sat_k2fix,0.244,0.539,0.583,
153,sat_k2fix_p,0.415,0.605,0.895,
154,sat_manol_c10_i_d,0.444,0.82,0.985,
155,sat_manol_c10_i,1.393,2.414,2.665,
156,sat_manol_c10_i_p,1.223,1.787,2.386,
157,sat_manol_c10_d,0.979,1.586,2.275,
158,sat_manol_c10,2.762,4.063,4.876,
159,sat_manol_c10_p,1.878,3.265,4.121,
160,sat_manol_c8_d,0.42,0.869,1.141,
161,sat_manol_c8,0.942,1.934,2.46,
162,sat_manol_c8_p,1.377,1.682,2.421,
163,sat_manol_g10_i_d,0.497,0.937,1.085,
164,sat_manol_g10_i,1.309,2.302,2.87,
165,sat_manol_g10_i_p,1.316,1.986,2.638,
166,sat_MD5-28-1_d,0.051,0.088,0.097,
167,sat_MD5-28-1,0.132,0.2,0.223,
168,sat_MD5-28-1_p,0.094,0.138,0.166,
169,sat_MD5-28-2_d,0.056,0.173,0.21,
170,sat_MD5-28-2,0.124,0.215,0.246,
171,sat_MD5-28-2_p,0.091,0.148,0.195,
172,sat_MD5-28-4_d,0.05,0.09,0.103,
173,sat_MD5-28-4,0.161,0.183,0.274,
174,sat_MD5-28-4_p,0.084,0.138,0.171,
175,sat_MD5-29-4_d,0.049,0.092,0.213,
176,sat_MD5-29-4,0.106,0.194,0.224,
177,sat_MD5-29-4_p,0.109,0.172,0.207,
178,sat_MD5-30-4_d,0.057,0.103,0.203,
