id,dataset,k=2,k=3,k=4,hedges
206,sat_L150,140734,201810,245962,2456708
207,sat_L150_p,152668,190245,266040,2456708
208,sat_L200_d,335,3521,3542,670867
209,sat_L200,196767,277485,328841,3513333
210,sat_L200_p,158353,293906,332929,3513333
211,sat_L80_d,399,1002,1557,250567
212,sat_L80,68854,101318,115684,1183233
213,sat_L80_p,81447,123950,127756,1183233
214,sat_k100_1d,593,1182,1785,1621762
215,sat_k100_1,1186,2365,3544,6356704
216,sat_k100_1p,1164,2394,3506,6356704
217,sat_k100_2d,588,1198,1769,1621756
218,sat_k100_2,1187,2354,3547,6356692
219,sat_k100_2p,1172,2386,3557,6356692
220,sat_k70_d,594,1185,1773,1131652
221,sat_k70,1177,2359,3539,4433524
222,sat_k70_p,1164,2346,3541,4433524
223,sat_k75_d,601,1184,1796,1213331
224,sat_k75,1180,2353,3545,4754042
225,sat_k75_p,1164,2358,3520,4754042
226,sat_k80_d,599,1208,1821,1295022
227,sat_k80,1180,2416,3568,5074584
228,sat_k80_p,1170,2379,3528,5074584
229,sat_k85_2d,592,1204,1770,1376701
230,sat_k85_2,1185,2363,3552,5395102
231,sat_k85_2p,1164,2435,3509,5395102
232,sat_k85_3d,592,1217,1803,1376701
233,sat_k85_3,1167,2365,3549,5395102
234,sat_k85_3p,1167,2407,3515,5395102
235,sat_k90_d,591,1227,1786,1458392
236,sat_k90,1179,2362,3540,5715644
237,sat_k90_p,1181,2373,3542,5715644
238,sat_k95_d,588,1221,1784,1540071
239,sat_k95,1173,2368,3533,6036162
240,sat_k95_p,1164,2342,3549,6036162
241,sat_slp_d,2000,3110,3925,94998
242,sat_slp,2614,8550,12014,302862
243,sat_slp_p,3691,9740,13627,302862
244,sat_030_d,370,740,2073,361750
245,sat_030,15224,31596,48015,1934720
246,sat_030_p,15661,36415,49003,1934720
247,sat_050_d,370,740,1110,602670
248,sat_050,14970,30072,45377,3224280
249,sat_050_p,13016,30872,47757,3224280
250,sat_UCG-10p0_d,1218,2582,2811,199304
251,sat_UCG-10p0,4760,11002,13052,1005834
252,sat_UCG-10p0_p,5053,11139,13854,1005834
253,sat_UCG-10p1_d,1188,2525,2833,200003
254,sat_UCG-10p1,5544,11185,13786,1019221
255,sat_UCG-10p1_p,5075,11857,14354,1019221
256,sat_UCG-5p0_d,1675,3026,4411,224587
257,sat_UCG-5p0,8240,13781,16766,1190673
258,sat_UCG-5p0_p,8107,13703,18340,1190673
259,sat_UR-15_d,2978,4228,4776,199996
260,sat_UR-15,9156,14699,16473,1019200
261,sat_UR-15_p,10096,14608,18313,1019200
262,sat_UR-20_d,3205,4568,5243,224569
263,sat_UR-20,12207,16512,17662,1190619
264,sat_UR-20_p,12115,16543,18098,1190619
265,sat_UTI_d,230,542,710,260342
266,sat_UTI,648,1297,2116,1391257
267,sat_UTI_p,907,1654,2724,1391257
268,sat_2.0_d,1588,1734,1973,151669
269,sat_2.0,79035,155119,171863,2465731
270,sat_2.0_p,121891,235084,274486,2465731
271,sat_4.0-9_d,635,2185,3748,96177
272,sat_4.0-9,76155,132903,175517,1814189
273,sat_4.0-9_p,74810,211503,286969,1814189
274,192bit,11915,12578,12634,13691
275,2cubes,4272,8713,11623,101492
276,2D,524,916,1291,54019
277,3D,8393,14079,21558,292008
278,ABACUS,262,558,788,23412
279,af23560,608,1216,1824,23560
280,af_shell,2285,4780,5285,504855
281,airfoil,367,655,808,14214
282,Andrews,4051,6812,8703,60000
283,appu,13989,13988,13989,14000
284,as-22,1027,1136,1374,22963
285,astro,3901,5299,5642,16046
286,atmos,17701,29399,34560,1270432
287,av41092,724,1342,1564,41092
288,barrier,8195,12495,14780,113076
289,Baumann,2230,3715,4444,112211
290,bayer04,96,97,161,20545
291,bbmat,1184,2112,3040,38744
292,bcsstk,462,900,1278,13992
293,Ben,1770,3294,4983,245874
294,bibd,1109,1047,1112,1176
295,bips,62,120,126,15066
296,bloweya,4958,6570,7544,30004
297,bundle,1528,1779,3641,10581
298,c-55,3917,5229,6408,32780
299,c-61,2528,3561,3862,43618
