id,dataset,k=2,k=3,k=4,
353,Ill,0.00550067,0.00726259,0.0118427,
354,interp,0.0086033,0.0168267,0.0282725,
355,IMDB,0.0776593,0.0826175,0.104553,
356,ibm01,0.00373552,0.00836445,0.0122943,
357,ibm02,0.00513792,0.0105706,0.0289025,
358,ibm03,0.00525478,0.00937773,0.0152773,
359,ibm04,0.00633898,0.0075447,0.0153284,
360,ibm05,0.00812445,0.0241634,0.0164487,
361,ibm06,0.00558717,0.0196573,0.0138853,
362,ibm07,0.00752954,0.0102028,0.0237025,
363,ibm08,0.00745011,0.0133347,0.0201802,
364,ibm09,0.00556214,0.01736,0.013699,
365,ibm10,0.0082896,0.0129228,0.0276173,
366,ibm11,0.00951552,0.0120413,0.0210029,
367,ibm12,0.0097896,0.0146641,0.0306576,
368,ibm13,0.0077249,0.013206,0.0197995,
369,ibm14,0.0113721,0.0269156,0.0292451,
370,ibm15,0.0123305,0.0204694,0.0298753,
371,ibm16,0.00943107,0.0188557,0.0227582,
372,kim1,0.00454266,0.00956102,0.0113331,
373,kkt,0.0621278,0.102863,0.131327,
374,duct3D,0.00536362,0.0095679,0.0177755,
375,lhr14,0.00212026,0.0047025,0.00639683,
376,li,0.00492685,0.00913288,0.0125032,
377,tissue,0.00409149,0.00868902,0.0168704,
378,Lin,0.0133572,0.0248148,0.0337014,
379,lp_nug,0.00978947,0.010026,0.0167003,
380,lp_pds,0.00757203,0.0166854,0.0163492,
381,lung,0.00314371,0.00435483,0.00768589,
382,m14b,0.00993437,0.0223607,0.0248789,
383,mac,0.0083808,0.0175859,0.0278685,
384,Maragal,0.0296829,0.0286952,0.0371436,
385,mc2depi,0.00997974,0.0207876,0.0300881,
386,mixtank,0.00401709,0.00829357,0.0277725,
387,mono,0.0106804,0.0204279,0.0265069,
388,mri1,0.00598688,0.0140424,0.0191557,
389,msc,0.00367626,0.0136824,0.0165076,
390,msdoor,0.0123339,0.0219117,0.0295663,
391,mult_dcop,0.184525,0.189981,0.203717,
392,nasasrb,0.0094856,0.0138437,0.0263067,
393,nd12k,0.0108316,0.0128058,0.0230922,
394,net100,0.00713574,0.0176861,0.0271835,
395,nopoly,0.00444957,0.00508962,0.00917784,
396,actors,0.0180439,0.0255422,0.0353292,
397,www,0.00373587,0.00897442,0.161229,
398,obstclae,0.00391651,0.0121228,0.0149815,
