id,dataset,k=2,k=3,k=4,
313,cryg,0.021,0.057,0.06,
314,crystk,0.024,0.057,0.066,
315,d_pretok,0.241,0.41,0.692,
316,dac11,0.661,1.143,1.478,
317,dac14,0.499,1.272,1.426,
318,dac16,0.737,1.112,1.302,
319,dac2,0.987,1.661,2.01,
320,dac3,1.001,1.73,1.865,
321,dac6,0.926,1.514,2.408,
322,dac7,0.882,1.493,2.066,
323,delta,0.137,0.208,0.306,
324,denormal,0.128,0.198,0.285,
325,dict,0.123,0.496,0.669,
326,diel,0.831,1.52,2.126,
327,cova2,0.071,0.116,0.233,
328,ecl32,0.24,0.249,0.373,
329,Emilia,1.641,2.32,3.139,
330,epb1,0.025,0.045,0.084,
331,ESOC,1.014,4.178,1.535,
332,Eternity,0.059,0.674,1.678,
333,ex19,0.014,0.037,0.059,
334,F2,0.129,0.19,0.279,
335,fd18,0.143,0.169,0.19,
336,fem,0.138,0.225,0.314,
337,finan,0.092,0.146,0.203,
338,flower,0.113,0.383,0.403,
339,foldoc,0.18,0.258,0.322,
340,Franz,0.343,0.547,0.458,
341,G2,0.4,0.655,0.759,
342,g7jac,0.03,0.063,0.092,
343,garon,0.021,0.049,0.159,
344,gearbox,0.321,0.324,0.544,
345,gemat,0.05,0.032,0.058,
346,graphics,0.047,0.078,0.152,
347,gyro,0.024,0.047,0.094,
348,H2O,0.187,0.344,0.415,
349,HEP,0.539,0.39,0.627,
350,HTC,0.178,0.323,0.459,
351,hvdc1,0.026,0.044,0.088,
352,IG5,0.086,0.264,0.519,
353,Ill,0.065,0.107,0.145,
354,interp,0.182,0.332,0.468,
355,IMDB,3.844,2.656,4.651,
356,ibm01,0.038,0.074,0.105,
357,ibm02,0.109,0.094,0.237,
358,ibm03,0.059,0.13,0.136,
359,ibm04,0.127,0.099,0.226,
360,ibm05,0.095,0.377,0.185,
361,ibm06,0.069,0.228,0.177,
362,ibm07,0.111,0.138,0.302,
363,ibm08,0.104,0.279,0.27,
364,ibm09,0.091,0.353,0.216,
365,ibm10,0.132,0.271,0.363,
366,ibm11,0.136,0.21,0.298,
367,ibm12,0.206,0.377,0.455,
368,ibm13,0.118,0.261,0.322,
369,ibm14,0.251,0.459,0.627,
370,ibm15,0.469,0.554,0.749,
371,ibm16,0.284,0.475,0.534,
372,kim1,0.055,0.124,0.145,
373,kkt,4.261,6.061,8.049,
374,duct3D,0.092,0.174,0.302,
375,lhr14,0.013,0.024,0.044,
376,li,0.068,0.122,0.145,
377,tissue,0.041,0.088,0.175,
378,Lin,0.414,0.738,0.972,
379,lp_nug,0.112,0.169,0.2,
380,lp_pds,0.13,0.339,0.247,
381,lung,0.055,0.11,0.144,
382,m14b,0.411,0.603,0.781,
383,mac,0.225,0.387,0.556,
384,Maragal,0.136,0.113,0.18,
385,mc2depi,0.43,0.742,0.949,
386,mixtank,0.061,0.105,0.387,
387,mono,0.363,0.573,0.673,
388,mri1,0.169,0.308,0.376,
389,msc,0.027,0.11,0.131,
390,msdoor,0.348,0.55,0.759,
391,mult_dcop,0.248,0.422,0.505,
392,nasasrb,0.154,0.205,0.332,
393,nd12k,0.15,0.199,0.322,
394,net100,0.1,0.173,0.473,
395,nopoly,0.022,0.034,0.048,
396,actors,0.619,0.862,0.947,
397,www,0.177,0.3,2.486,
398,obstclae,0.07,0.127,0.179,
399,olafu,0.033,0.059,0.089,
400,opt1,0.028,0.055,0.141,
401,Oregon,0.107,0.136,0.333,
402,p2p,0.293,0.149,0.355,
403,para,0.244,0.631,0.528,
404,parabolic,0.441,0.782,0.962,
405,Pd,0.1,0.168,0.154,
406,pdb,0.076,0.115,0.135,
407,pds,0.27,0.422,0.874,
408,pesa,0.037,0.052,0.08,
409,PGP,0.025,0.051,0.058,
410,pkustk,0.088,0.209,0.24,
411,poisson3D,0.241,0.305,0.755,
412,poli3,0.01,0.016,0.024,
413,powersim,0.014,0.039,0.048,
414,pre2,0.847,1.011,1.593,
415,Pres,0.023,0.049,0.074,
416,psse2,0.037,0.069,0.097,
417,qa8fk,0.152,0.257,0.382,
418,rajat,0.331,0.121,0.413,
419,Reuters,0.089,0.315,0.175,
420,RFdevice,0.131,0.241,0.393,
421,rgg,0.238,0.397,0.538,
422,rim,0.025,0.068,0.21,
423,rma,0.059,0.109,0.143,
424,Rucci,2.658,4.095,4.948,
425,s4dkt,0.186,0.252,0.281,
426,scfxm,0.084,0.106,0.13,
427,scircuit,0.156,0.303,0.395,
428,shallow,0.091,0.192,0.241,
429,sherman,0.172,0.288,0.311,
430,ship,0.053,0.093,0.123,
431,shock,0.155,0.235,0.311,
432,shyy,0.103,0.201,0.285,
433,skirt,0.02,0.035,0.054,
434,sme3D,0.064,0.241,0.147,
435,soc-sign,3.329,0.579,5.414,
436,sparsine,0.335,0.456,0.609,
437,spmsrtls,0.047,0.079,0.079,
438,std1_Jac3,0.058,0.1,0.162,
439,stokes,0.077,0.117,0.168,
440,ted_A,0.012,0.019,0.024,
441,TF16,0.119,0.254,0.34,
442,thermal,0.089,0.169,0.255,
443,therm,0.124,0.214,0.311,
444,tmt,0.883,1.543,1.962,
445,tomogra,0.107,0.608,0.332,
446,torso,0.389,0.632,0.895,
447,Trec,0.052,0.117,0.12,
448,Trefe,0.124,0.11,0.154,
449,TSOPF,0.082,0.2,0.135,
450,us04,0.01,0.112,0.319,
451,usroads,0.132,0.207,0.302,
452,venkat,0.083,0.131,0.175,
453,vibro,0.068,0.072,0.122,
454,plastic,0.061,0.19,0.219,
455,rocks,0.055,0.078,0.181,
456,wave3D,0.062,0.086,0.122,
457,wathen120,0.06,0.106,0.13,
458,water,0.302,0.273,0.422,
459,wang4,0.075,0.141,0.178,
460,xenon,0.239,0.367,0.636,
461,Zhao,0.093,0.152,0.16,
462,G67,0.023,0.074,0.061,
463,af101,1.162,1.668,1.86,
464,eco1,1.11,1.779,2.304,
465,ibm18,0.236,0.449,0.858,
466,ibm17,0.316,0.45,0.767,
467,web1M,0.318,0.514,0.668,
468,nl120,6.099,10.14,13.448,
469,sat_p,15.03,22.684,38.115,
470,wbedu,12.394,11.075,66.312,
471,Stanf,0.179,0.395,0.51,
472,gene2,0.246,0.42,0.296,
473,Hamr3,1.066,1.659,2.128,
474,StocF,1.83,3.108,6.08,
475,lang,1.064,1.503,1.616,
476,kron,1.811,2.705,2.961,
477,case39,0.328,0.244,0.398,
478,dac9,0.674,1.04,1.35,
479,dac12,1.006,1.813,2.551,
480,dac19,0.549,0.786,1.053,
481,tran4,0.494,1.196,2.727,
482,Cheb4,0.265,0.287,0.351,
483,sat_d,8.217,11.077,50.185,
484,HV15R,5.512,9.651,14.5,
485,gupta2,0.157,0.403,0.487,
486,ASIC,24.637,19.104,37.405,
487,ASIC320k,3.154,5.026,9.191,
488,wiki-Talk,2.406,83.082,169.364,
489,com-Youtube,5.259,9.452,35.706,
490,Freescal,1.911,3.123,3.863,
491,roadNet-CA,1.118,1.762,2.332,
492,delaunay23,6.061,9.928,12.959,
493,coPapersDBLP,1.6,20.003,2.609,
494,dc1,0.501,1.201,2.701,
495,channel,6.867,11.198,14.166,
496,as-Skitter,5.127,18.465,9.66,
497,ASIC_100k,1.604,2.12,3.16,
498,dc2,0.498,1.195,2.705,
499,tran5,0.498,1.203,2.736,
