id,dataset,k=2,k=3,k=4,
282,Andrews,0.0174818,0.0355396,0.0436752,
283,appu,0.018527,0.0417253,0.0531056,
284,as-22,0.0135277,0.018924,0.0630228,
285,astro,0.0205053,0.0312094,0.0381952,
286,atmos,0.141605,0.217592,0.314354,
287,av41092,0.017101,0.0368694,0.0465501,
288,barrier,0.0503888,0.0696411,0.0923861,
289,Baumann,0.0151547,0.0339452,0.05011,
290,bayer04,0.00795703,0.0114207,0.0243352,
291,bbmat,0.0134228,0.0219005,0.0335122,
292,bcsstk,0.00588889,0.0129396,0.0190697,
293,Ben,0.0513658,0.0842216,0.118015,
294,bibd,0.00484428,0.01849,0.021187,
295,bips,0.00711178,0.0143111,0.0159998,
296,bloweya,0.0098663,0.0321293,0.0305598,
297,bundle,0.00791244,0.0135068,0.174486,
298,c-55,0.0196917,0.0292309,0.0347022,
299,c-61,0.0113899,0.0195061,0.0361824,
300,c-64,0.0310121,0.0527729,0.0708413,
301,CondMat,0.0125211,0.0207768,0.0229706,
302,cage10,0.00780078,0.0172185,0.0190465,
303,ccc,0.00628888,0.022467,0.0316089,
304,cfd,0.0192224,0.0292271,0.0444018,
305,Chem97Zt,0.00355002,0.00749505,0.00968007,
306,circuit,0.00969253,0.0122642,0.0259007,
307,ckt,0.0232905,0.0399641,0.061533,
308,cnr,0.0319899,0.0559844,0.0782898,
309,conf5_4,0.0109714,0.03236,0.0324015,
310,copter,0.005902,0.012155,0.0171796,
311,coupled,0.00646996,0.020543,0.0203909,
312,crash,0.0193676,0.0359048,0.0505341,
313,cryg,0.0056399,0.0147536,0.0183238,
314,crystk,0.00584561,0.0133896,0.0187694,
315,d_pretok,0.0198801,0.0366277,0.0690311,
316,dac11,0.115045,0.212225,0.28709,
317,dac14,0.0820707,0.174342,0.220898,
318,dac16,0.0962639,0.170167,0.200895,
319,dac2,0.118863,0.221235,0.305223,
320,dac3,0.113993,0.213327,0.272573,
321,dac6,0.151961,0.242078,0.356679,
322,dac7,0.150197,0.280839,0.393498,
323,delta,0.00840911,0.0218989,0.0302242,
324,denormal,0.0124374,0.0251658,0.0375118,
325,dict,0.00913139,0.0772514,0.0702786,
326,diel,0.105231,0.190944,0.227298,
327,cova2,0.00918814,0.0166142,0.0364397,
328,ecl32,0.0215621,0.0216937,0.0451569,
329,Emilia,0.0,0.0,0.0,
330,epb1,0.00758323,0.0151092,0.0246217,
331,ESOC,0.0434116,0.147384,0.0851371,
332,Eternity,0.0136426,0.0431677,0.317577,
333,ex19,0.00341832,0.0102785,0.0139595,
334,F2,0.0266497,0.0500467,0.0598308,
335,fd18,0.0193348,0.0210484,0.0312229,
336,fem,0.0157097,0.040475,0.0419864,
337,finan,0.00984203,0.0176615,0.0276274,
338,flower,0.0166503,0.0295879,0.0565158,
339,foldoc,0.0132805,0.0329902,0.0306198,
340,Franz,0.0174086,0.0448163,0.036498,
341,G2,0.0259271,0.0503239,0.0619003,
342,g7jac,0.00655299,0.0138474,0.0221459,
343,garon,0.00455951,0.0123177,0.0163225,
344,gearbox,0.0370051,0.0728941,0.094351,
345,gemat,0.00935586,0.010341,0.0141142,
346,graphics,0.00767808,0.0137793,0.0229845,
347,gyro,0.0065073,0.0127388,0.0265557,
348,H2O,0.0262227,0.0494276,0.0560831,
349,HEP,0.0182936,0.0648286,0.0321537,
350,HTC,0.0446285,0.0652277,0.0848386,
351,hvdc1,0.00557492,0.0124671,0.0193503,
352,IG5,0.00904545,0.049875,0.0780562,
353,Ill,0.00661511,0.0136441,0.0238439,
354,interp,0.0159565,0.0317305,0.0539367,
355,IMDB,0.217782,0.425807,0.32479,
356,ibm01,0.0099782,0.0152573,0.0193543,
357,ibm02,0.0109295,0.0128052,0.0248501,
358,ibm03,0.0092252,0.0175281,0.0253169,
359,ibm04,0.0100871,0.0161346,0.0269522,
360,ibm05,0.010737,0.0219501,0.0442421,
361,ibm06,0.00943427,0.0284289,0.0312655,
362,ibm07,0.0124198,0.021532,0.0374858,
363,ibm08,0.0123914,0.0230411,0.0406509,
364,ibm09,0.0109342,0.0190243,0.0318087,
365,ibm10,0.0150266,0.0221256,0.040023,
366,ibm11,0.0136266,0.0228237,0.0390436,
367,ibm12,0.0143043,0.0321928,0.0389059,
368,ibm13,0.0178166,0.030913,0.0437984,
369,ibm14,0.0229634,0.0304158,0.0519181,
370,ibm15,0.0261297,0.0473743,0.0611843,
371,ibm16,0.0166301,0.034572,0.0532314,
372,kim1,0.00993283,0.0206045,0.0245399,
373,kkt,0.164536,0.336282,0.413271,
374,duct3D,0.0201239,0.0353383,0.0546793,
375,lhr14,0.0034385,0.00773248,0.0130944,
376,li,0.0109029,0.0188946,0.0347306,
377,tissue,0.00641705,0.0165139,0.0221769,
378,Lin,0.033529,0.056116,0.0786407,
379,lp_nug,0.014303,0.021368,0.0293563,
380,lp_pds,0.02131,0.0600094,0.0405527,
381,lung,0.00611397,0.0106126,0.0202466,
382,m14b,0.0321524,0.0681529,0.077886,
383,mac,0.0209857,0.0396285,0.0540901,
384,Maragal,0.0169264,0.0183971,0.0286817,
385,mc2depi,0.0290972,0.0640538,0.0848978,
386,mixtank,0.0109543,0.0205664,0.034924,
387,mono,0.035311,0.0726952,0.119388,
388,mri1,0.0121322,0.0235446,0.033924,
389,msc,0.00928263,0.0144304,0.0211446,
390,msdoor,0.0727602,0.140305,0.196078,
391,mult_dcop,0.0289325,0.0447627,0.0750981,
392,nasasrb,0.0216713,0.0386559,0.0610252,
393,nd12k,0.0680775,0.0962769,0.113574,
394,net100,0.0160143,0.036676,0.0462874,
395,nopoly,0.00679191,0.0120452,0.0155355,
396,actors,0.038728,0.0642031,0.0808075,
397,www,0.00768475,0.0237996,0.265331,
398,obstclae,0.00686294,0.0200758,0.0251424,
399,olafu,0.00682112,0.0136076,0.0207729,
400,opt1,0.0103276,0.0179835,0.0326801,
401,Oregon,0.0133112,0.0191744,0.0347023,
402,p2p,0.0224211,0.0204339,0.0495953,
403,para,0.0431208,0.102144,0.0899052,
404,parabolic,0.0316169,0.0693564,0.0877934,
405,Pd,0.0302828,0.0643024,0.0658454,
406,pdb,0.020816,0.0442745,0.0544356,
407,pds,0.0269624,0.0424748,0.0646916,
408,pesa,0.00734597,0.0107901,0.0162472,
409,PGP,0.00672659,0.0204455,0.0150415,
410,pkustk,0.0198092,0.0401568,0.0560981,
411,poisson3D,0.0223376,0.0385661,0.0532922,
412,poli3,0.00630533,0.00927519,0.0156293,
413,powersim,0.00455546,0.00813667,0.0118986,
414,pre2,0.0644639,0.107612,0.169516,
415,Pres,0.00512205,0.0117762,0.0145599,
416,psse2,0.00529571,0.0141692,0.0183169,
417,qa8fk,0.0174381,0.0331968,0.0499959,
418,rajat,0.0375892,0.0337806,0.0633146,
419,Reuters,0.0151798,0.0405895,0.0408648,
420,RFdevice,0.0151356,0.0339971,0.0471497,
421,rgg,0.0210705,0.0404813,0.058327,
422,rim,0.00683973,0.0159611,0.0314391,
423,rma,0.0114859,0.0262996,0.0329268,
424,Rucci,0.122925,0.273001,0.533706,
425,s4dkt,0.0262463,0.0433356,0.0577723,
426,scfxm,0.0133956,0.0150435,0.0243341,
427,scircuit,0.018664,0.0399145,0.0523946,
428,shallow,0.0104368,0.0235984,0.037306,
429,sherman,0.0313007,0.0377615,0.0514498,
430,ship,0.0193112,0.0338567,0.0443136,
431,shock,0.0152611,0.0325094,0.0382893,
432,shyy,0.0110692,0.0228049,0.0362221,
433,skirt,0.0065302,0.0112239,0.0154901,
434,sme3D,0.011474,0.0277211,0.0291234,
435,soc-sign,0.326966,0.0575905,0.60672,
436,sparsine,0.0173331,0.0392016,0.0542743,
437,spmsrtls,0.00870112,0.0160385,0.020306,
438,std1_Jac3,0.0125857,0.0267368,0.0385612,
439,stokes,0.00942961,0.0180398,0.0382668,
440,ted_A,0.00488239,0.00890118,0.0121386,
441,TF16,0.00851361,0.0209091,0.0383324,
442,thermal,0.0109123,0.0271623,0.0313227,
443,therm,0.015008,0.0246689,0.0408272,
444,tmt,0.0618266,0.121094,0.152993,
445,tomogra,0.011042,0.021959,0.0433578,
446,torso,0.0408641,0.0551779,0.0879755,
447,Trec,0.0100412,0.0,0.0,
448,Trefe,0.0128687,0.0254668,0.0208677,
449,TSOPF,0.0110541,0.0265109,0.0244913,
450,us04,0.0071719,0.046445,0.0876143,
451,usroads,0.0128181,0.0238431,0.0320697,
452,venkat,0.011666,0.0203916,0.02946,
453,vibro,0.0115465,0.0205399,0.0207084,
454,plastic,0.0098111,0.0166768,0.0244108,
455,rocks,0.0090482,0.0199335,0.029667,
456,wave3D,0.00722318,0.0146749,0.0240061,
457,wathen120,0.00822094,0.0171,0.0245939,
458,water,0.0150881,0.0270714,0.050811,
459,wang4,0.0130159,0.0225622,0.0307341,
460,xenon,0.0259328,0.0509182,0.0648201,
461,Zhao,0.00966866,0.0247166,0.0282556,
462,G67,0.00588209,0.0205778,0.0221001,
463,af101,0.137168,0.217814,0.252667,
464,eco1,0.0800111,0.139679,0.200123,
465,ibm18,0.0207469,0.0484985,0.0562469,
466,ibm17,0.0245319,0.0439305,0.0547427,
467,web1M,0.0655954,0.119581,0.16392,
468,nl120,0.0,0.0,0.0,
469,sat_p,0.0,0.0,0.0,
470,wbedu,0.0,0.0,0.0,
471,Stanf,0.0825128,0.176506,0.189152,
472,gene2,0.0443079,0.0823182,0.079396,
473,Hamr3,0.0621601,0.121775,0.180571,
474,StocF,0.122588,0.225873,0.295393,
475,lang,0.119347,0.469497,0.237029,
476,kron,0.103626,0.179243,0.275799,
477,case39,0.0283486,0.0274415,0.0466755,
478,dac9,0.12615,0.208833,0.279244,
479,dac12,0.175405,0.331959,0.409544,
480,dac19,0.106714,0.154305,0.206475,
481,tran4,0.0329119,0.215397,0.340429,
482,Cheb4,0.0356172,0.0459056,0.0555927,
483,sat_d,0.0,0.0,0.0,
484,HV15R,0.0,0.0,0.0,
485,gupta2,0.0391794,0.0913829,0.0914798,
486,ASIC,0.894804,0.715662,2.24506,
487,ASIC320k,0.168101,0.413683,0.793449,
488,wiki-Talk,0.29114,4.79923,10.0191,
489,com-Youtube,0.687195,1.27654,2.02484,
490,Freescal,0.113778,0.220214,0.0,
491,roadNet-CA,0.061864,0.12471,0.203378,
492,delaunay23,0.0,0.0,0.0,
493,coPapersDBLP,0.196979,0.238951,0.625863,
494,dc1,0.0330343,0.213467,0.346801,
495,channel,0.0,0.0,0.0,
496,as-Skitter,0.851536,1.52898,1.23252,
497,ASIC_100k,0.0820589,0.125848,0.293563,
498,dc2,0.0320189,0.210754,0.338846,
499,tran5,0.0334264,0.211685,0.338478,
