id,dataset,k=2,k=3,k=4,
343,garon,0.031,0.038,0.039,
344,gearbox,0.168,0.191,0.189,
345,gemat,0.023,0.027,0.034,
346,graphics,0.029,0.035,0.035,
347,gyro,0.040,0.049,0.058,
348,H2O,0.433,0.729,0.692,
349,HEP,0.109,0.200,0.196,
350,HTC,0.241,0.245,0.256,
351,hvdc1,0.032,0.036,0.041,
352,IG5,0.288,0.592,0.617,
353,Ill,0.038,0.057,0.060,
354,interp,0.134,0.107,0.162,
355,IMDB,1.379,2.000,2.034,
356,ibm01,0.060,0.052,0.053,
357,ibm02,0.057,0.069,0.078,
358,ibm03,0.058,0.099,0.079,
359,ibm04,0.060,0.080,0.092,
360,ibm05,0.070,0.097,0.106,
361,ibm06,0.063,0.088,0.095,
362,ibm07,0.083,0.121,0.131,
363,ibm08,0.090,0.119,0.144,
364,ibm09,0.078,0.115,0.197,
365,ibm10,0.252,0.237,0.258,
366,ibm11,0.206,0.137,0.238,
367,ibm12,0.188,0.267,0.239,
368,ibm13,0.122,0.281,0.151,
369,ibm14,0.183,0.249,0.374,
370,ibm15,0.635,0.382,0.260,
371,ibm16,0.331,0.432,0.287,
372,kim1,0.044,0.466,0.061,
373,kkt,0.047,0.177,1.539,
374,duct3D,0.117,0.178,0.184,
375,lhr14,0.071,0.037,0.058,
376,li,0.166,0.266,0.246,
377,tissue,0.038,0.048,0.046,
378,Lin,0.229,0.274,0.349,
379,lp_nug,0.154,0.171,0.305,
380,lp_pds,0.111,0.191,0.116,
381,lung,0.116,0.100,0.096,
382,m14b,0.241,0.273,0.240,
383,mac,0.258,0.172,0.687,
384,Maragal,0.131,0.149,0.136,
385,mc2depi,0.276,0.299,0.297,
386,mixtank,0.108,0.180,0.200,
387,mono,0.272,0.514,0.283,
388,mri1,0.084,0.100,0.101,
389,msc,0.045,0.064,0.066,
390,msdoor,0.338,0.343,0.337,
391,mult_dcop,0.061,0.092,0.102,
392,nasasrb,0.109,0.144,0.078,
393,nd12k,0.647,0.995,0.965,
394,net100,0.367,0.637,0.577,
395,nopoly,0.038,0.030,0.052,
396,actors,0.519,0.785,0.841,
397,www,0.169,0.199,0.199,
398,obstclae,0.048,0.053,0.055,
399,olafu,0.043,0.045,0.060,
400,opt1,0.057,0.076,0.097,
401,Oregon,0.040,0.057,0.054,
402,p2p,0.047,0.147,0.065,
403,para,0.274,0.264,0.278,
404,parabolic,0.274,0.285,0.276,
405,Pd,0.018,0.040,0.018,
406,pdb,0.094,0.126,0.125,
407,pds,0.337,0.269,0.339,
408,pesa,0.024,0.033,0.032,
409,PGP,0.030,0.043,0.043,
410,pkustk,0.111,0.126,0.123,
411,poisson3D,0.155,0.212,0.243,
412,poli3,0.024,0.029,0.032,
413,powersim,0.055,0.034,0.036,
414,pre2,0.396,0.404,0.462,
415,Pres,0.034,0.046,0.051,
416,psse2,0.027,0.031,0.033,
417,qa8fk,0.080,0.121,0.141,
418,rajat,0.057,0.066,0.067,
419,Reuters,0.173,0.176,0.200,
420,RFdevice,0.093,0.119,0.119,
421,rgg,0.163,0.170,0.177,
422,rim,0.039,0.050,0.053,
423,rma,0.076,0.123,0.074,
424,Rucci,0.612,0.426,0.442,
425,s4dkt,0.085,0.099,0.104,
426,scfxm,0.058,0.060,0.064,
427,scircuit,0.133,0.137,0.142,
428,shallow,0.072,0.084,0.085,
429,sherman,0.053,0.074,0.081,
430,ship,0.092,0.110,0.117,
431,shock,0.044,0.051,0.057,
432,shyy,0.074,0.075,0.082,
433,skirt,0.030,0.033,0.036,
434,sme3D,0.082,0.093,0.105,
435,soc-sign,0.360,0.572,0.493,
436,sparsine,0.524,0.721,0.729,
437,spmsrtls,14.373,0.037,0.036,
438,std1_Jac3,0.139,0.223,0.246,
439,stokes,0.052,0.058,0.077,
440,ted_A,0.243,0.034,0.037,
441,TF16,0.141,0.235,0.202,
442,thermal,0.070,0.078,0.566,
443,therm,0.083,0.110,0.107,
444,tmt,0.482,0.475,1.633,
445,tomogra,0.098,0.129,0.159,
446,torso,0.435,0.416,0.246,
447,Trec,0.610,0.987,0.823,
448,Trefe,0.249,0.262,0.325,
449,TSOPF,0.127,0.204,0.225,
450,us04,0.089,0.116,0.119,
451,usroads,0.112,0.116,0.133,
452,venkat,0.073,0.086,0.136,
453,vibro,0.091,0.102,0.109,
454,plastic,0.049,0.089,0.203,
455,rocks,0.047,0.050,0.057,
456,wave3D,0.054,0.070,0.078,
457,wathen120,0.037,0.096,0.052,
458,water,0.091,0.322,0.125,
459,wang4,0.053,0.109,0.085,
460,xenon,0.137,0.139,0.175,
461,Zhao,0.087,0.097,0.138,
462,G67,0.030,0.040,0.302,
463,af101,0.295,0.291,0.296,
464,eco1,0.525,0.199,0.661,
465,ibm18,0.211,0.177,0.264,
466,ibm17,0.225,0.407,0.315,
467,web1M,0.619,0.796,0.670,
468,nl120,2.895,3.052,3.049,
469,sat_p,4.914,5.706,6.074,
470,wbedu,3.817,4.316,4.085,
471,Stanf,0.389,0.418,0.444,
472,gene2,1.911,2.599,3.165,
473,Hamr3,0.688,0.685,0.674,
474,StocF,0.945,0.976,1.951,
475,lang,0.438,0.726,0.562,
476,kron,1.454,1.740,1.741,
477,case39,0.102,0.114,0.130,
478,dac9,0.536,0.575,0.627,
479,dac12,0.795,0.923,0.913,
480,dac19,0.342,0.384,0.443,
481,tran4,0.521,0.524,0.957,
482,Cheb4,0.148,0.152,0.182,
483,sat_d,7.328,7.413,7.632,
484,HV15R,4.885,5.063,5.193,
485,gupta2,0.200,0.287,0.000,
486,ASIC,0.554,0.651,0.629,
487,ASIC320k,0.418,0.511,0.484,
488,wiki-Talk,6.071,7.645,6.919,
489,com-Youtube,3.134,4.360,4.120,
490,Freescal,1.600,1.579,1.595,
491,roadNet-CA,0.818,0.835,0.844,
492,delaunay23,4.390,4.737,4.326,
493,coPapersDBLP,1.667,1.821,2.008,
494,dc1,0.441,0.486,0.610,
495,channel,3.215,3.191,3.115,
496,as-Skitter,2.772,2.452,3.617,
497,ASIC_100k,0.207,0.251,0.261,
498,dc2,0.423,0.470,0.498,
499,tran5,0.418,0.483,0.477,
