id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
160,sat_manol_c8_d,1657,0.487,,,4705,0.741,,,4107,0.871,,,269048
161,sat_manol_c8,9976,1.623,,,19720,2.693,,,22671,3.161,,,799867
162,sat_manol_c8_p,8266,1.455,,,15345,2.152,,,19189,2.605,,,799867
163,sat_manol_g10_i_d,1609,0.49,,,3784,0.701,,,4775,0.867,,,266405
164,sat_manol_g10_i,8782,1.66,,,13288,2.478,,,16148,3.103,,,792175
165,sat_manol_g10_i_p,7748,1.32,,,14911,2.116,,,17773,2.544,,,792175
166,sat_MD5-28-1_d,739,0.026,,,1102,0.038,,,1680,0.046,,,8282
167,sat_MD5-28-1,4881,0.109,,,8099,0.164,,,10232,0.186,,,62558
168,sat_MD5-28-1_p,4181,0.049,,,7069,0.075,,,9366,0.09,,,62558
169,sat_MD5-28-2_d,680,0.024,,,1221,0.036,,,1686,0.042,,,8281
170,sat_MD5-28-2,4283,0.101,,,8270,0.175,,,9779,0.189,,,62554
171,sat_MD5-28-2_p,4254,0.052,,,7211,0.076,,,10282,0.091,,,62554
172,sat_MD5-28-4_d,680,0.024,,,1175,0.036,,,1686,0.041,,,8281
173,sat_MD5-28-4,4315,0.058,,,8131,0.113,,,10064,0.126,,,62544
174,sat_MD5-28-4_p,4027,0.056,,,9645,0.089,,,9698,0.098,,,62544
175,sat_MD5-29-4_d,670,0.027,,,1520,0.041,,,1674,0.049,,,8590
176,sat_MD5-29-4,4273,0.061,,,9219,0.112,,,9947,0.12,,,65312
177,sat_MD5-29-4_p,4863,0.055,,,9855,0.083,,,9547,0.091,,,65312
178,sat_MD5-30-4_d,632,0.028,,,1390,0.042,,,1729,0.051,,,8905
179,sat_MD5-30-4,4667,0.063,,,7839,0.1,,,11455,0.128,,,68106
180,sat_MD5-30-4_p,4538,0.056,,,7904,0.086,,,11283,0.101,,,68106
181,sat_MD5-30-5_d,721,0.027,,,1464,0.038,,,1764,0.049,,,8905
182,sat_MD5-30-5,4620,0.063,,,9194,0.123,,,10618,0.132,,,68103
183,sat_MD5-30-5_p,5377,0.085,,,11003,0.129,,,11211,0.148,,,68103
184,sat_min_d,1924,0.596,,,6093,0.885,,,11328,1.135,,,249327
185,sat_min,4034,1.025,,,29144,1.84,,,40203,2.12,,,746444
186,sat_min_p,4753,0.736,,,34540,1.249,,,44676,1.399,,,746444
187,sat_p30_d,3509,1.125,,,4252,2.005,,,12466,2.257,,,324116
188,sat_p30,5379,2.093,,,8940,3.448,,,19337,4.156,,,1643601
189,sat_p30_p,4284,0.841,,,26003,1.393,,,17238,1.677,,,1643601
190,sat_p30_NOT_d,1840,0.307,,,3624,0.492,,,3923,0.564,,,95456
191,sat_p30_NOT,3873,0.633,,,7811,0.973,,,11735,1.297,,,483561
192,sat_p30_NOT_p,4350,0.212,,,30832,0.356,,,13581,0.472,,,483561
193,sat_non_p30_d,3509,1.119,,,4252,2.009,,,12466,2.255,,,324116
194,sat_non_p30,5379,2.09,,,8940,3.436,,,19337,4.145,,,1643601
195,sat_non_p30_p,4284,0.843,,,26003,1.402,,,17238,1.674,,,1643601
196,sat_post_d,821,0.89,,,1423,1.423,,,1962,1.644,,,276895
197,sat_post,5236,1.906,,,6493,3.122,,,14107,3.727,,,1607567
198,sat_post_p,1983,1.028,,,7466,1.726,,,4886,1.99,,,1607567
199,sat_post-ee_d,349,0.888,,,724,1.344,,,1084,1.633,,,266199
200,sat_post-ee,4820,1.31,,,4723,2.032,,,6462,2.647,,,1575975
201,sat_post-ee_p,2470,0.577,,,2900,0.935,,,4730,1.13,,,1575975
202,sat_L100_d,513,2.465,,,2286,2.895,,,2908,3.082,,,315617
203,sat_L100,63207,2.905,,,156916,5.525,,,263510,6.011,,,1522583
204,sat_L100_p,76911,2.339,,,155502,3.093,,,181716,4.547,,,1522583
205,sat_L150_d,2142,5.095,,,2888,5.784,,,4947,6.15,,,486992
206,sat_L150,121741,3.918,,,189453,7.22,,,256302,12.408,,,2456708
207,sat_L150_p,182673,5.694,,,258778,5.718,,,316389,9.143,,,2456708
208,sat_L200_d,608,8.662,,,3954,9.87,,,4544,10.346,,,670867
209,sat_L200,166731,5.965,,,315631,12.908,,,394223,13.738,,,3513333
210,sat_L200_p,145077,3.742,,,318292,5.225,,,414424,8.672,,,3513333
211,sat_L80_d,465,1.708,,,2018,1.986,,,2407,2.186,,,250567
212,sat_L80,84188,3.594,,,108954,4.62,,,162996,5.73,,,1183233
213,sat_L80_p,61474,1.582,,,124830,2.359,,,142953,3.481,,,1183233
214,sat_k100_1d,674,4.502,,,2511,7.183,,,4521,8.98,,,1621762
215,sat_k100_1,1365,7.683,,,5577,12.521,,,7598,15.29,,,6356704
216,sat_k100_1p,1202,6.53,,,3604,8.183,,,9403,11.587,,,6356704
217,sat_k100_2d,1264,4.703,,,2391,7.64,,,2863,9.256,,,1621756
218,sat_k100_2,2391,9.331,,,9673,14.789,,,10791,18.141,,,6356692
219,sat_k100_2p,2004,7.637,,,4324,12.011,,,13082,15.331,,,6356692
220,sat_k70_d,701,3.229,,,2035,5.071,,,3096,6.713,,,1131652
221,sat_k70,4573,5.387,,,7593,8.944,,,9172,10.725,,,4433524
222,sat_k70_p,1192,3.535,,,8180,5.741,,,3585,7.03,,,4433524
223,sat_k75_d,1285,3.461,,,2166,5.514,,,2896,6.838,,,1213331
224,sat_k75,3945,5.726,,,8227,9.506,,,11515,11.382,,,4754042
225,sat_k75_p,1755,5.678,,,7919,9.179,,,16022,11.989,,,4754042
226,sat_k80_d,730,3.689,,,3866,5.64,,,2764,7.333,,,1295022
227,sat_k80,2479,7.172,,,9579,11.771,,,19835,14.376,,,5074584
228,sat_k80_p,1170,4.084,,,2454,6.549,,,4810,8.093,,,5074584
229,sat_k85_2d,1066,4.005,,,2822,6.562,,,5441,7.884,,,1376701
230,sat_k85_2,4061,8.54,,,7826,12.824,,,15909,16.595,,,5395102
231,sat_k85_2p,1182,4.308,,,4742,6.962,,,3597,9.299,,,5395102
232,sat_k85_3d,1066,4.016,,,2833,6.559,,,5432,7.903,,,1376701
233,sat_k85_3,4061,8.544,,,7826,12.866,,,15909,16.611,,,5395102
234,sat_k85_3p,1182,4.321,,,4742,6.948,,,3597,9.289,,,5395102
235,sat_k90_d,669,4.045,,,3182,6.589,,,7747,8.302,,,1458392
236,sat_k90,1472,6.906,,,4918,11.148,,,8814,13.74,,,5715644
237,sat_k90_p,1266,5.054,,,2390,7.263,,,3641,9.589,,,5715644
238,sat_k95_d,854,4.295,,,3051,7.004,,,4683,8.518,,,1540071
239,sat_k95,3956,11.132,,,4823,13.718,,,15626,19.764,,,6036162
240,sat_k95_p,1240,4.844,,,2361,7.96,,,3602,9.628,,,6036162
241,sat_slp_d,1125,0.174,,,3709,0.292,,,4178,0.337,,,94998
242,sat_slp,3912,0.533,,,9631,0.938,,,18074,1.059,,,302862
243,sat_slp_p,3736,0.433,,,10672,0.753,,,17518,0.837,,,302862
244,sat_030_d,370,1.495,,,1029,2.209,,,1876,2.926,,,361750
245,sat_030,14025,2.861,,,27733,5.016,,,45007,5.376,,,1934720
246,sat_030_p,15113,1.775,,,51804,2.703,,,72794,3.398,,,1934720
247,sat_050_d,740,2.544,,,2099,4.189,,,1726,4.997,,,602670
248,sat_050,13197,4.349,,,53825,7.697,,,55289,9.273,,,3224280
249,sat_050_p,13685,3.001,,,52623,4.777,,,84012,5.831,,,3224280
250,sat_UCG-10p0_d,1257,0.657,,,5259,1.044,,,4862,1.367,,,199304
251,sat_UCG-10p0,4146,1.741,,,10767,2.869,,,17767,3.327,,,1005834
252,sat_UCG-10p0_p,9318,1.65,,,16145,2.66,,,22203,3.118,,,1005834
253,sat_UCG-10p1_d,1880,0.585,,,4097,0.912,,,5426,1.213,,,200003
254,sat_UCG-10p1,4821,1.057,,,12662,1.739,,,30463,2.012,,,1019221
255,sat_UCG-10p1_p,7742,1.075,,,21305,1.718,,,21658,1.965,,,1019221
256,sat_UCG-5p0_d,2314,0.834,,,5974,1.6,,,6611,1.68,,,224587
257,sat_UCG-5p0,10114,2.153,,,19242,3.638,,,21825,4.068,,,1190673
