,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
shallow,0.000261056,0.000339808,0.000999872,0.00804058,0.0324673,0.0422617,0.124353,0.800918,81920,327680,4,0.0482634,0.303739,0.0370781,0.263492,0.642362,0.0941464,0.49838,0.137542,0.00643934,edgecut:794,0.158556
sherman,0.00523459,0.00557994,0.0375358,0.0639238,0.081888,0.0872904,0.587196,0.243626,18510,145149,7.84165,0.211457,0.505367,0.19837,0.759923,0.225294,0.0147831,0.0392567,0.185685,0.00035242,edgecut:7025,0.0183316
ship,0.000670688,0.000837952,0.00100611,0.00597267,0.112293,0.140298,0.168453,0.578957,34920,4644230,132.996,0.168719,0.467733,0.135041,0.468405,0.387311,0.144284,0.344444,0.0392669,0.0036004,edgecut:3120,0.191645
shock,0.00047808,0.000690048,0.0012848,0.0172849,0.0276588,0.039922,0.0743308,0.858088,36476,142580,3.90887,0.0431278,0.298666,0.0298798,0.207998,0.741584,0.0504172,0.483411,0.247932,0.0102415,edgecut:407,0.1165044
shyy,0.000381856,0.0004552,0.00122144,0.00861485,0.0443253,0.052839,0.141783,0.761052,76480,329762,4.31174,0.0615684,0.29413,0.0516482,0.321428,0.584331,0.094241,0.47827,0.0973092,0.0087514,edgecut:350,0.1767217
skirt,0.000176128,0.000291008,0.000374528,0.00485456,0.0362809,0.0599453,0.0771497,0.826624,12598,196520,15.5993,0.0649567,0.346967,0.039314,0.249919,0.583257,0.166824,0.394648,0.181747,0.006862,edgecut:60,0.2433671
sme3D,0.000730144,0.00115933,0.00077856,0.0065617,0.111274,0.176681,0.118652,0.593393,29067,2081063,71.5954,0.200467,0.528112,0.126254,0.453205,0.419882,0.126914,0.332475,0.0830468,0.00435985,edgecut:4071,0.173511
soc-sign,0.00209491,0.00440806,0.00456384,0.222915,0.0093978,0.0197746,0.0204734,0.950354,95318,841372,8.827,0.0201879,0.644026,0.00959423,0.0511781,0.944915,0.0039072,0.018969,0.925799,0.000146423,edgecut:1465,0.0054392
sparsine,0.000633408,0.000536192,0.00233923,0.0101872,0.0621767,0.0526337,0.229624,0.655566,50000,1548988,30.9798,0.0683221,0.354948,0.0807095,0.37791,0.532899,0.0891908,0.185138,0.344764,0.00299669,edgecut:20615,0.1226666
spmsrtls,0.000175648,0.000273408,0.000482688,0.00728858,0.0240991,0.0375119,0.0662253,0.872164,29995,229947,7.66618,0.0401723,0.30038,0.0258082,0.191107,0.697521,0.111372,0.36049,0.330845,0.00618612,edgecut:1222,0.1746427
std1_Jac3,0.0011623,0.00184099,0.00123517,0.0103765,0.112013,0.177419,0.119035,0.591534,21982,1455848,66.2291,0.201391,0.553486,0.127148,0.439582,0.47966,0.0807576,0.320597,0.155986,0.00307771,edgecut:5132,0.111873
