id,dataset,k=2,k=3,k=4,
359,ibm04,0.082,0.098,0.106,
360,ibm05,0.072,0.096,0.111,
361,ibm06,0.062,0.103,0.112,
362,ibm07,0.073,0.108,0.120,
363,ibm08,0.095,0.118,0.112,
364,ibm09,0.066,0.092,0.111,
365,ibm10,0.092,0.126,0.136,
366,ibm11,0.072,0.120,0.132,
367,ibm12,0.101,0.143,0.153,
368,ibm13,0.102,0.131,0.140,
369,ibm14,0.138,0.187,0.188,
370,ibm15,0.149,0.199,0.199,
371,ibm16,0.162,0.196,0.216,
372,kim1,0.041,0.046,0.042,
373,kkt,1.724,1.888,1.926,
374,duct3D,0.103,0.142,0.172,
375,lhr14,0.047,0.062,0.049,
376,li,0.079,0.152,0.160,
377,tissue,0.051,0.061,0.053,
378,Lin,0.182,0.217,0.221,
379,lp_nug,0.143,0.173,0.201,
380,lp_pds,0.076,0.098,0.104,
381,lung,0.074,0.075,0.081,
382,m14b,0.161,0.186,0.201,
383,mac,0.123,0.135,0.145,
384,Maragal,0.111,0.163,0.125,
385,mc2depi,0.250,0.263,0.275,
386,mixtank,0.097,0.157,0.174,
387,mono,0.186,0.245,0.268,
388,mri1,0.087,0.088,0.089,
389,msc,0.050,0.046,0.054,
390,msdoor,0.395,0.403,0.405,
391,mult_dcop,0.078,0.088,0.096,
392,nasasrb,0.050,0.056,0.061,
393,nd12k,0.652,0.952,1.005,
394,net100,0.331,0.598,0.467,
395,nopoly,0.043,0.044,0.031,
396,actors,0.434,0.839,0.787,
397,www,0.126,0.152,0.153,
398,obstclae,0.070,0.045,0.067,
399,olafu,0.025,0.032,0.041,
400,opt1,0.042,0.058,0.061,
401,Oregon,0.045,0.067,0.055,
402,p2p,0.052,0.048,0.052,
403,para,0.159,0.190,0.196,
404,parabolic,0.264,0.269,0.274,
405,Pd,0.022,0.013,0.015,
406,pdb,0.087,0.116,0.119,
407,pds,0.190,0.224,0.236,
408,pesa,0.046,0.032,0.059,
409,PGP,0.031,0.064,0.055,
410,pkustk,0.093,0.106,0.121,
411,poisson3D,0.122,0.180,0.200,
412,poli3,0.042,0.049,0.029,
413,powersim,0.023,0.031,0.024,
414,pre2,0.383,0.415,0.432,
415,Pres,0.041,0.042,0.055,
416,psse2,0.025,0.028,0.034,
417,qa8fk,0.063,0.097,0.112,
418,rajat,0.068,0.059,0.062,
419,Reuters,0.179,0.196,0.217,
420,RFdevice,0.088,0.101,0.119,
421,rgg,0.142,0.147,0.152,
422,rim,0.036,0.043,0.045,
423,rma,0.045,0.054,0.054,
424,Rucci,0.444,0.468,0.486,
425,s4dkt,0.066,0.073,0.072,
426,scfxm,0.064,0.043,0.058,
427,scircuit,0.086,0.108,0.110,
428,shallow,0.069,0.080,0.077,
429,sherman,0.048,0.074,0.082,
430,ship,0.090,0.107,0.111,
431,shock,0.043,0.060,0.073,
432,shyy,0.073,0.070,0.077,
433,skirt,0.025,0.029,0.032,
434,sme3D,0.062,0.085,0.095,
435,soc-sign,0.311,0.527,0.487,
436,sparsine,0.558,0.751,0.758,
437,spmsrtls,0.028,0.036,0.051,
438,std1_Jac3,0.111,0.165,0.227,
439,stokes,0.058,0.059,0.061,
440,ted_A,0.028,0.059,0.049,
441,TF16,0.138,0.197,0.201,
442,thermal,0.060,0.066,0.068,
443,therm,0.061,0.056,0.079,
444,tmt,0.526,0.519,0.534,
445,tomogra,0.095,0.118,0.124,
446,torso,0.180,0.208,0.225,
447,Trec,0.688,0.929,0.904,
448,Trefe,0.245,0.223,0.313,
449,TSOPF,0.088,0.150,0.129,
450,us04,0.084,0.096,0.092,
451,usroads,0.090,0.093,0.097,
452,venkat,0.036,0.041,0.045,
453,vibro,0.083,0.082,0.117,
454,plastic,0.063,0.101,0.121,
455,rocks,0.030,0.037,0.044,
456,wave3D,0.064,0.083,0.092,
457,wathen120,0.038,0.030,0.057,
458,water,0.061,0.093,0.096,
459,wang4,0.048,0.073,0.078,
460,xenon,0.102,0.117,0.122,
461,Zhao,0.059,0.076,0.071,
462,G67,0.034,0.038,0.030,
463,af101,0.356,0.364,0.366,
464,eco1,0.573,0.577,0.586,
465,ibm18,0.174,0.229,0.228,
466,ibm17,0.176,0.219,0.258,
467,web1M,0.460,0.467,0.547,
468,nl120,4.587,4.713,4.756,
469,sat_p,4.738,6.961,7.285,
470,wbedu,4.530,4.948,4.910,
471,Stanf,0.268,0.328,0.360,
472,gene2,2.298,3.049,3.846,
473,Hamr3,0.780,0.789,0.795,
474,StocF,1.178,1.220,1.227,
475,lang,0.398,0.488,0.514,
476,kron,1.459,1.926,1.964,
477,case39,0.096,0.107,0.109,
478,dac9,0.543,0.618,0.635,
479,dac12,0.930,1.014,1.042,
480,dac19,0.314,0.372,0.384,
481,tran4,0.254,0.316,0.297,
482,Cheb4,0.120,0.135,0.142,
483,sat_d,11.053,11.393,11.678,
484,HV15R,7.194,7.315,7.373,
485,gupta2,0.183,0.247,0.298,
486,ASIC,0.497,0.597,0.594,
487,ASIC320k,0.387,0.450,0.462,
488,wiki-Talk,9.431,11.420,10.661,
489,com-Youtube,3.600,5.092,4.791,
490,Freescal,2.159,2.161,2.175,
491,roadNet-CA,0.979,0.978,0.991,
492,delaunay23,6.720,6.711,6.742,
493,coPapersDBLP,2.030,2.174,2.355,
494,dc1,0.252,0.305,0.300,
495,channel,4.765,4.798,4.820,
496,as-Skitter,3.394,4.532,4.309,
497,ASIC_100k,0.155,0.206,0.203,
498,dc2,0.253,0.296,0.306,
499,tran5,0.250,0.300,0.298,
