id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
32,sat_16_p,,,1979,0.0122577,,,4505,0.0179349,,,5216,0.0263284,0
33,sat_184_d,,,704,0.0120899,,,1316,0.0165482,,,1648,0.0218317,0
34,sat_184,,,2805,0.0107774,,,5646,0.0236824,,,6345,0.0358502,0
35,sat_184_p,,,2240,0.013802,,,4583,0.0186542,,,5499,0.0248929,0
36,sat_9_d,,,402,0.0119443,,,970,0.0178187,,,1194,0.0227924,0
37,sat_9,,,2276,0.0145324,,,4727,0.0270157,,,4806,0.0454954,0
38,sat_9_p,,,2620,0.0118903,,,4068,0.0178783,,,5076,0.0261693,0
39,sat_9dlx_d,,,1217,0.0207791,,,1835,0.0276196,,,2746,0.0393016,0
40,sat_9dlx,,,37022,0.0394295,,,112841,0.0958801,,,119020,0.0956531,0
41,sat_9dlx_p,,,57266,0.0486433,,,167774,0.0792105,,,192548,0.0969297,0
42,sat_bug7,,,367093,0.362012,,,836271,0.58134,,,1309366,1.14211,0
43,sat_bug8_d,,,3553,0.370765,,,20334,0.7182,,,21321,0.654441,0
44,sat_bug8,,,354839,0.375508,,,695726,0.829684,,,1091739,0.868636,0
45,sat_bug8_p,,,370110,0.459454,,,1544126,1.74552,,,1954653,1.15224,0
46,sat_aaai_d,,,1451,0.0122504,,,3612,0.0196644,,,4173,0.0234659,0
47,sat_aaai,,,3180,0.0153367,,,5194,0.0474438,,,6895,0.0592601,0
48,sat_aaai_p,,,2392,0.0125093,,,4065,0.0174163,,,6337,0.0283312,0
49,sat_ACG_10p_d,,,2242,0.0165703,,,7129,0.0277837,,,6776,0.0479914,0
50,sat_ACG_10p,,,5716,0.0296568,,,12630,0.050628,,,16477,0.0782289,0
51,sat_ACG_10p_p,,,5484,0.0320528,,,22346,0.0505274,,,16201,0.0738868,0
52,sat_ACG_5p0_d,,,2111,0.0172805,,,3489,0.0271473,,,5378,0.0514197,0
53,sat_ACG_5p0,,,6231,0.0280066,,,12413,0.0461352,,,14893,0.0592693,0
54,sat_ACG_5p0_p,,,7706,0.0245853,,,14907,0.043669,,,14266,0.0658771,0
55,sat_ACG_5p1_d,,,2190,0.0170272,,,7377,0.029251,,,6906,0.0490299,0
56,sat_ACG_5p1,,,6088,0.034107,,,13308,0.0504913,,,19000,0.0711614,0
57,sat_ACG_5p1_p,,,7080,0.0315581,,,12599,0.0463685,,,18504,0.0880419,0
58,sat_01_d,,,300,0.0119961,,,747,0.0146893,,,1045,0.0176894,0
59,sat_01,,,1109,0.011497,,,2835,0.0200669,,,3426,0.0184484,0
60,sat_01_p,,,1051,0.00902361,,,2301,0.0163534,,,3343,0.0190885,0
