dataset,BiPart,Policy,Mt-KaHyPar-SDet,gHyPart-B,gHyPart,best,self_speedup,mt_speedup,gHyPart-B_speedup,gHyPart_speedup,best_speedup
mac,0.223,RAND,0.269,0.0122872,0.0118607,0.0115593,1,0.829382516,17.92777438,18.80602805,19.72334253
Maragal,0.134,RAND,0.323,0.0400248,0.0134712,0.0124866,1,0.414715129,3.156290558,11.48312238,11.48312238
mc2depi,0.414,RAND,0.557,0.0144615,0.0146968,0.0140079,1,0.743226542,27.92165749,28.73862429,29.74116565
mixtank,0.056,RAND,0.329,0.00554982,0.00688559,0.00505085,1,0.170239265,9.822803639,10.49402496,11.12245425
mono,0.359,RAND,0.518,0.0164938,0.0155056,0.0152524,1,0.693517087,21.65781853,23.28145266,23.28145266
mri1,0.149,RAND,0.124,0.00828473,0.00942149,0.00805655,1,1.204521969,17.17369405,18.09273437,18.99986738
msc,0.046,RAND,0.121,0.0053728,0.00485451,0.00429529,1,0.379222845,8.261969079,9.679930978,10.97341333
msdoor,0.359,RAND,0.832,0.0247403,0.0206528,0.0203412,1,0.431544948,14.65946352,18.11009322,18.11009322
mult_dcop,0.264,RAND,0.119,0.165389,0.0193381,0.018793,1,2.21065845,1.072102987,12.70978364,14.07189459
nasasrb,0.155,RAND,0.128,0.0143854,0.0126731,0.011758,1,1.209536932,11.06668571,12.68682371,13.44167613
nd12k,0.15,RAND,2.417,0.0130981,0.0108457,0.00991255,1,0.062063995,10.92657343,14.23690205,16.0728292
net100,0.098,RAND,1.504,0.011406,0.00871926,0.00871926,1,0.065144297,9.295002513,10.65098147,10.70398352
nopoly,0.021,RAND,0.04,0.0061601,0.00636909,0.00581583,1,0.530241169,3.545650247,3.296397979,3.545650247
actors,0.624,RAND,1.672,0.025302,0.021185,0.0207675,1,0.373165566,25.67193408,27.80971736,29.78193325
www,0.148,RAND,0.247,0.00466912,0.00485492,0.00466912,1,0.598310355,31.71806923,29.64221051,32.31462215
obstclae,0.069,RAND,0.073,0.00616704,0.00653341,0.00616704,1,0.945510957,11.50558021,10.15294156,11.50558021
olafu,0.034,RAND,0.077,0.00433731,0.00437848,0.00431282,1,0.440271944,7.575487505,7.284304253,8.191132858
opt1,0.03,RAND,0.153,0.00445498,0.00473811,0.00401424,1,0.195933492,6.350510052,7.163888272,7.328978292
Oregon,0.102,RAND,0.086,0.016571,0.0112752,0.0104431,1,1.183059657,5.101045714,9.045038973,9.934548855
p2p,0.297,RAND,0.126,0.0218613,0.0200994,0.0171135,1,2.361851095,15.21820446,15.85149762,16.97453249
para,0.239,RAND,0.43,0.0299549,0.0141875,0.0141768,1,0.555179827,6.198213151,16.98009989,16.98009989
parabolic,0.438,RAND,0.629,0.0150719,0.0146961,0.0138792,1,0.696426435,28.93208886,32.29016919,32.29016919
Pd,0.106,RAND,0.021,0.044601,0.041473,0.0412404,1,5.018058145,2.548125925,2.569809107,2.599906305
pdb,0.074,RAND,0.292,0.00777549,0.00774939,0.00734777,1,0.253566983,9.93871573,8.852744171,10.12508586
pds,0.259,RAND,0.466,0.0133625,0.0146939,0.0130612,1,0.555731425,19.37593046,18.69725605,20.14639193
pesa,0.039,RAND,0.043,0.00666781,0.00791437,0.00666781,1,0.913341588,5.756644496,5.049249604,5.858239614
PGP,0.026,RAND,0.062,0.00802307,0.00665749,0.00653131,1,0.422332014,3.339867484,3.510377892,3.767684569
pkustk,0.091,RAND,0.247,0.00703046,0.00680252,0.00666266,1,0.368449896,13.15717182,13.36032805,14.36972189
poisson3D,0.233,RAND,0.383,0.0126309,0.0134136,0.0126309,1,0.608480324,17.60776253,19.57160857,19.57160857
poli3,0.009,RAND,0.043,0.00485914,0.00466113,0.00422556,1,0.208986547,1.774615894,1.947512378,2.128731489
powersim,0.015,RAND,0.043,0.00393341,0.00405805,0.00393341,1,0.346438677,3.860407659,3.535451147,3.944109341
pre2,0.852,RAND,0.909,0.02762,0.0302038,0.02762,1,0.937706409,29.91268445,30.53818169,30.53818169
Pres,0.023,RAND,0.073,0.00430336,0.00364487,0.0034769,1,0.316850635,6.091053302,5.606542591,6.685171998
psse2,0.037,RAND,0.044,0.00637386,0.00660324,0.00582698,1,0.833663532,6.254839048,6.210627559,6.254839048
qa8fk,0.145,RAND,0.184,0.0107886,0.01043,0.0100678,1,0.786658813,14.19189398,14.73917255,14.73917255
rajat,0.407,RAND,0.089,0.028541,0.0230082,0.0217242,1,4.576783431,13.4126448,19.21714906,19.21714906
Reuters,0.091,RAND,0.644,0.0146,0.0106313,0.00998176,1,0.141354992,6.071847977,9.19259703,9.19259703
RFdevice,0.133,RAND,0.162,0.0120141,0.0103748,0.0103748,1,0.822544416,9.97016447,12.33525937,12.7019903
rgg,0.23,RAND,0.322,0.0122951,0.0120651,0.0120651,1,0.71452389,19.12188958,18.13479673,19.25927166
rim,0.023,RAND,0.079,0.00367683,0.00402896,0.00367683,1,0.292316291,5.996079086,5.83451292,6.163410778
rma,0.058,RAND,0.121,0.0065112,0.00700441,0.00631559,1,0.478628969,8.89540537,8.688774104,10.03468888
Rucci,2.727,RAND,1,0.0718878,0.0540625,0.0540625,1,2.72697312,37.04242016,50.38076552,51.49917945
s4dkt,0.185,RAND,0.159,0.0138524,0.0131704,0.0130439,1,1.161789507,13.82578022,13.64699287,14.3475361
scfxm,0.079,RAND,0.079,0.0107064,0.01042,0.010002,1,1.004742218,6.761556699,6.959555293,8.069236088
scircuit,0.156,RAND,0.208,0.0115658,0.0116619,0.0114447,1,0.74820624,13.43866027,13.58932367,13.6832503
shallow,0.087,RAND,0.105,0.00760602,0.00836323,0.00756641,1,0.831518894,10.50846475,10.91047267,11.25469107
sherman,0.175,RAND,0.11,0.0511182,0.0200326,0.0165299,1,1.596848292,2.788804623,9.067733378,9.977934511
ship,0.055,RAND,0.276,0.00564288,0.00568479,0.00545804,1,0.199131399,9.198155017,9.629930524,10.17361741
shock,0.146,RAND,0.072,0.0140739,0.0148941,0.0140739,1,2.03939468,8.173639453,9.247061208,10.08315147
shyy,0.101,RAND,0.099,0.00861997,0.00928891,0.00842032,1,1.021440594,10.90739835,11.07843643,11.1443357
skirt,0.021,RAND,0.049,0.00447072,0.00508409,0.00447072,1,0.428639486,4.431997332,4.21400736,4.614968761
sme3D,0.062,RAND,0.184,0.00671651,0.0078053,0.00552231,1,0.336200726,9.507058991,8.198282063,11.18326118
soc-sign,3.338,RAND,1.154,0.221436,0.204558,0.204394,1,2.891952555,14.96780442,15.80484941,16.2414122
sparsine,0.326,RAND,1.971,0.0111529,0.0107078,0.00964489,1,0.16542019,27.55775717,32.06515324,33.78248844
spmsrtls,0.047,RAND,0.047,0.00814074,0.00845096,0.00780583,1,1.008113836,5.748940116,5.739693891,6.030511824
std1_Jac3,0.054,RAND,0.456,0.0102404,0.00868579,0.00802829,1,0.118313414,5.082783483,6.073031579,6.595194302
stokes,0.064,RAND,0.083,0.00649606,0.00718691,0.00632749,1,0.77096637,10.04348515,8.643415878,10.51227637
ted_A,0.013,RAND,0.051,0.00258925,0.00265004,0.00246272,1,0.252774551,4.257716292,4.680939933,5.313691749
TF16,0.118,RAND,0.468,0.00557728,0.00729415,0.00533221,1,0.252099968,22.40892103,16.1762831,22.40892103
thermal,0.084,RAND,0.1,0.00694515,0.00700267,0.00666084,1,0.839495304,12.78317004,11.92512724,12.88055129
therm,0.121,RAND,0.126,0.00954586,0.0103859,0.00927667,1,0.957910983,13.29679097,12.76990945,13.30818343
tmt,0.862,RAND,1.04,0.0289649,0.0263858,0.0255703,1,0.829220494,30.43957286,34.87012698,35.39401504
tomogra,0.106,RAND,0.216,0.00841309,0.00766264,0.00654684,1,0.490514384,11.07637263,16.26407955,16.26407955
torso,0.378,RAND,0.428,0.0167482,0.0174717,0.0167482,1,0.884185333,22.44122536,21.58236413,22.44122536
Trec,0.053,RAND,2.153,0.0126404,0.00548458,0.00538585,1,0.024614286,3.972179752,9.542087809,9.889720289
Trefe,0.131,RAND,0.953,0.00957677,0.00945173,0.00912053,1,0.137524071,12.65431502,13.89709572,14.56989881
TSOPF,0.087,RAND,0.308,0.0949886,0.00809576,0.00775847,1,0.282491561,0.69739479,11.03107594,11.19280573
