id,dataset,k=2,k=3,k=4,
341,G2,0.399,0.681,0.803,
342,g7jac,0.028,0.07,0.096,
343,garon,0.022,0.05,0.168,
344,gearbox,0.306,0.373,0.623,
345,gemat,0.046,0.038,0.067,
346,graphics,0.047,0.083,0.164,
347,gyro,0.024,0.054,0.112,
348,H2O,0.186,0.349,0.447,
349,HEP,0.535,0.385,0.63,
350,HTC,0.179,0.361,0.522,
351,hvdc1,0.023,0.047,0.097,
352,IG5,0.084,0.254,0.551,
353,Ill,0.064,0.114,0.153,
354,interp,0.182,0.359,0.521,
355,IMDB,3.814,2.759,4.865,
356,ibm01,0.039,0.078,0.12,
357,ibm02,0.1,0.095,0.249,
358,ibm03,0.06,0.136,0.149,
359,ibm04,0.127,0.106,0.233,
360,ibm05,0.096,0.38,0.195,
361,ibm06,0.069,0.24,0.196,
362,ibm07,0.084,0.144,0.31,
363,ibm08,0.099,0.286,0.291,
364,ibm09,0.09,0.351,0.225,
365,ibm10,0.133,0.246,0.393,
366,ibm11,0.135,0.228,0.325,
367,ibm12,0.197,0.374,0.478,
368,ibm13,0.131,0.277,0.356,
369,ibm14,0.248,0.488,0.656,
370,ibm15,0.459,0.595,0.791,
371,ibm16,0.283,0.503,0.592,
372,kim1,0.055,0.135,0.169,
373,kkt,4.337,6.507,8.772,
374,duct3D,0.094,0.194,0.338,
375,lhr14,0.015,0.026,0.051,
376,li,0.066,0.126,0.155,
377,tissue,0.037,0.097,0.196,
378,Lin,0.412,0.78,1.037,
379,lp_nug,0.114,0.175,0.22,
380,lp_pds,0.13,0.355,0.27,
381,lung,0.062,0.129,0.18,
382,m14b,0.408,0.648,0.859,
383,mac,0.231,0.419,0.62,
384,Maragal,0.13,0.125,0.192,
385,mc2depi,0.432,0.821,1.082,
386,mixtank,0.063,0.112,0.417,
387,mono,0.353,0.627,0.762,
388,mri1,0.165,0.329,0.412,
389,msc,0.029,0.124,0.135,
390,msdoor,0.352,0.656,0.937,
391,mult_dcop,0.26,0.43,0.531,
392,nasasrb,0.158,0.228,0.359,
393,nd12k,0.147,0.237,0.382,
394,net100,0.099,0.181,0.494,
395,nopoly,0.032,0.039,0.06,
396,actors,0.608,0.892,1.021,
397,www,0.18,0.334,2.541,
398,obstclae,0.07,0.136,0.201,
399,olafu,0.032,0.069,0.096,
400,opt1,0.035,0.061,0.159,
401,Oregon,0.103,0.134,0.349,
402,p2p,0.291,0.152,0.365,
403,para,0.245,0.659,0.599,
404,parabolic,0.436,0.877,1.146,
405,Pd,0.088,0.171,0.156,
406,pdb,0.076,0.126,0.172,
407,pds,0.274,0.471,0.977,
408,pesa,0.042,0.056,0.083,
409,PGP,0.027,0.049,0.065,
410,pkustk,0.087,0.237,0.29,
411,poisson3D,0.236,0.333,0.798,
412,poli3,0.011,0.022,0.032,
413,powersim,0.014,0.037,0.056,
414,pre2,0.855,1.149,1.775,
415,Pres,0.024,0.048,0.083,
416,psse2,0.037,0.075,0.103,
417,qa8fk,0.152,0.274,0.408,
418,rajat,0.335,0.133,0.42,
419,Reuters,0.086,0.329,0.195,
420,RFdevice,0.133,0.258,0.421,
421,rgg,0.242,0.45,0.638,
422,rim,0.024,0.079,0.227,
423,rma,0.057,0.122,0.174,
424,Rucci,2.648,4.186,5.229,
425,s4dkt,0.181,0.277,0.336,
426,scfxm,0.077,0.111,0.147,
427,scircuit,0.164,0.326,0.452,
428,shallow,0.092,0.209,0.272,
429,sherman,0.167,0.293,0.318,
430,ship,0.057,0.106,0.149,
431,shock,0.15,0.223,0.332,
432,shyy,0.105,0.216,0.315,
433,skirt,0.023,0.035,0.058,
434,sme3D,0.066,0.257,0.166,
435,soc-sign,3.335,0.607,5.476,
436,sparsine,0.316,0.464,0.635,
437,spmsrtls,0.05,0.085,0.094,
438,std1_Jac3,0.055,0.105,0.171,
439,stokes,0.07,0.13,0.189,
440,ted_A,0.012,0.023,0.037,
441,TF16,0.116,0.255,0.358,
442,thermal,0.089,0.184,0.286,
443,therm,0.123,0.229,0.347,
444,tmt,0.895,1.711,2.233,
445,tomogra,0.107,0.618,0.339,
446,torso,0.388,0.689,0.913,
447,Trec,0.049,0.128,0.142,
448,Trefe,0.12,0.107,0.165,
449,TSOPF,0.081,0.215,0.161,
450,us04,0.01,0.11,0.322,
451,usroads,0.134,0.229,0.343,
452,venkat,0.082,0.144,0.202,
453,vibro,0.068,0.072,0.147,
454,plastic,0.061,0.203,0.23,
455,rocks,0.048,0.091,0.206,
456,wave3D,0.064,0.088,0.132,
457,wathen120,0.057,0.119,0.156,
458,water,0.286,0.284,0.459,
459,wang4,0.078,0.149,0.187,
460,xenon,0.238,0.395,0.704,
461,Zhao,0.1,0.161,0.172,
462,G67,0.025,0.079,0.071,
463,af101,1.166,1.816,2.082,
464,eco1,1.104,1.934,2.582,
465,ibm18,0.232,0.482,0.933,
466,ibm17,0.327,0.489,0.823,
467,web1M,0.335,0.679,0.948,
468,nl120,6.064,10.724,14.612,
469,sat_p,14.63,23.138,39.146,
470,wbedu,12.551,12.347,68.953,
471,Stanf,0.184,0.447,0.613,
472,gene2,0.243,0.463,0.364,
473,Hamr3,1.08,1.898,2.54,
474,StocF,1.857,3.382,6.606,
475,lang,1.073,1.595,1.73,
476,kron,1.786,2.717,3.072,
477,case39,0.342,0.264,0.418,
478,dac9,0.678,1.172,1.591,
479,dac12,1.021,2.026,2.897,
480,dac19,0.559,0.865,1.2,
481,tran4,0.51,1.224,2.758,
482,Cheb4,0.27,0.347,0.413,
483,sat_d,8.578,12.402,52.874,
484,HV15R,5.528,10.661,15.921,
485,gupta2,0.152,0.449,0.526,
486,ASIC,25.362,19.963,37.279,
487,ASIC320k,3.332,5.313,9.465,
488,wiki-Talk,2.449,82.535,168.502,
489,com-Youtube,5.387,9.759,36.09,
490,Freescal,1.918,3.624,4.762,
491,roadNet-CA,1.145,2.04,2.848,
492,delaunay23,6.045,11.08,15.034,
493,coPapersDBLP,1.609,20.643,2.857,
494,dc1,0.517,1.235,2.744,
495,channel,6.753,11.898,15.669,
496,as-Skitter,5.097,19.056,10.33,
497,ASIC_100k,1.641,2.218,3.241,
498,dc2,0.506,1.223,2.754,
499,tran5,0.505,1.223,2.793,
