dataset,gHyPart,policy1,BiPart,policy2,Mt,HEs
sat_manol_c10_d,3645,-HDH,3645,PP,1418,433601
sat_manol_c10,9628,-HSNWH,9628,MWD,8724,1291714
sat_manol_c10_p,12314,-LDH,12314,PLD,8682,1291714
sat_manol_c8_d,1576,-HDH,1657,PP,1097,269048
sat_manol_c8,9976,-HSNWH,9976,MWD,6298,799867
sat_manol_c8_p,8266,-HRH,8266,MDEG,5882,799867
sat_manol_g10_i_d,1609,-HDH,1609,PP,1043,266405
sat_manol_g10_i,8782,-HSNWH,8782,MWD,7418,792175
sat_manol_g10_i_p,7748,-HRH,7748,MDEG,6316,792175
sat_MD5-28-1_d,739,-HSNWH,739,MWD,538,8282
sat_MD5-28-1,4322,-RAND,4881,RAND,3944,62558
sat_MD5-28-1_p,4181,-LDH,4181,PLD,3512,62558
sat_MD5-28-2_d,614,-HDH,680,PP,534,8281
sat_MD5-28-2,4843,-RAND,4283,RAND,3989,62554
sat_MD5-28-2_p,4254,-LDH,4254,PLD,3914,62554
sat_MD5-28-4_d,618,-HDH,680,PP,487,8281
sat_MD5-28-4,4315,-LDH,4315,PLD,3924,62544
sat_MD5-28-4_p,4027,-LSNWH,4027,WD,3856,62544
sat_MD5-29-4_d,670,-HSNWH,670,MWD,574,8590
sat_MD5-29-4,4285,-LDH,4273,PLD,4040,65312
sat_MD5-29-4_p,4721,-LDH,4863,PLD,4049,65312
sat_MD5-30-4_d,632,-HSNWH,632,MWD,517,8905
sat_MD5-30-4,4667,-LDH,4667,PLD,4402,68106
sat_MD5-30-4_p,4654,-LDH,4538,PLD,4614,68106
sat_MD5-30-5_d,721,-HSNWH,721,MWD,513,8905
sat_MD5-30-5,4620,-LDH,4620,PLD,4410,68103
sat_MD5-30-5_p,4647,-RAND,5377,RAND,4459,68103
sat_min_d,1924,-HRH,1924,MDEG,865,249327
sat_min,4034,-LDH,4034,PLD,2298,746444
sat_min_p,3444,-RAND,4753,RAND,2283,746444
sat_p30_d,833,-LRH,3509,DEG,188,324116
sat_p30,5381,-HDH,5379,PP,3334,1643601
sat_p30_p,4284,-LDH,4284,PLD,4279,1643601
sat_p30_NOT_d,1840,-HSNWH,1840,MWD,185,95456
sat_p30_NOT,3873,-HSNWH,3873,MWD,3479,483561
sat_p30_NOT_p,4350,-LSNWH,4350,WD,4279,483561
sat_non_p30_d,833,-LRH,3509,DEG,188,324116
sat_non_p30,5381,-HDH,5379,PP,3334,1643601
sat_non_p30_p,4284,-LDH,4284,PLD,4279,1643601
sat_post_d,821,-HDH,821,PP,374,276895
sat_post,5235,-HDH,5236,PP,1270,1607567
sat_post_p,1983,-RAND,1983,RAND,1322,1607567
sat_post-ee_d,349,-HSNWH,349,MWD,306,266199
sat_post-ee,4820,-RAND,4820,RAND,879,1575975
sat_post-ee_p,2470,-LDH,2470,PLD,1339,1575975
sat_L100_d,500,-HDH,513,PP,369,315617
sat_L100,63207,-HDH,63207,PP,85155,1522583
sat_L100_p,76911,-RAND,76911,RAND,98374,1522583
sat_L150_d,2142,-HSNWH,2142,MWD,375,486992
sat_L150,121874,-RAND,121741,RAND,140586,2456708
sat_L150_p,148523,-RAND,182673,RAND,152861,2456708
sat_L200_d,625,-HSNWH,608,MWD,335,670867
sat_L200,231057,-RAND,166731,RAND,196792,3513333
sat_L200_p,145077,-LRH,145077,DEG,158317,3513333
sat_L80_d,465,-HSNWH,465,MWD,399,250567
sat_L80,84188,-HDH,84188,PP,68854,1183233
