id,dataset,k=2,k=3,k=4,
259,sat_UR-15_d,0.0171992,0.0285548,0.0408142,
260,sat_UR-15,0.0361941,0.0587738,0.0639905,
261,sat_UR-15_p,0.0278326,0.0462496,0.066115,
262,sat_UR-20_d,0.0157572,0.0324393,0.0432611,
263,sat_UR-20,0.0343915,0.0641022,0.0789123,
264,sat_UR-20_p,0.033255,0.0709694,0.0845561,
265,sat_UTI_d,0.0306294,0.0478384,0.0707583,
266,sat_UTI,0.0236036,0.0414655,0.0796368,
267,sat_UTI_p,0.0253566,0.0446321,0.0791902,
268,sat_2.0_d,0.0303174,0.0403343,0.246016,
269,sat_2.0,0.0668737,0.19035,0.228352,
270,sat_2.0_p,0.0536507,0.132834,0.152373,
271,sat_4.0-9_d,0.0462055,0.0412154,0.484341,
272,sat_4.0-9,0.0815508,0.142286,0.144784,
273,sat_4.0-9_p,0.0703557,0.118243,0.14603,
274,192bit,0.0139304,0.0175155,0.0274369,
275,2cubes,0.0121246,0.0268004,0.0375654,
276,2D,0.00818644,0.0195192,0.0294954,
277,3D,0.0230522,0.0408464,0.0455005,
278,ABACUS,0.0065904,0.0150424,0.0151159,
279,af23560,0.00547641,0.0120064,0.0136887,
280,af_shell,0.0183725,0.0355573,0.0484085,
281,airfoil,0.00624278,0.010859,0.01624,
282,Andrews,0.0117024,0.0198236,0.026441,
283,appu,0.00791452,0.0245621,0.0321567,
284,as-22,0.0104659,0.0126344,0.0526745,
285,astro,0.0196821,0.0254998,0.0338824,
286,atmos,0.0743847,0.100604,0.145545,
287,av41092,0.0122541,0.0202797,0.0272966,
288,barrier,0.020788,0.027564,0.0422568,
289,Baumann,0.0095571,0.0184639,0.0275134,
290,bayer04,0.00752074,0.0114555,0.0208594,
291,bbmat,0.00787631,0.0130319,0.0223711,
292,bcsstk,0.00531109,0.0101718,0.016648,
293,Ben,0.0157544,0.0273226,0.0459803,
294,bibd,0.00417137,0.0156441,0.018655,
295,bips,0.00707109,0.0146251,0.0165297,
296,bloweya,0.00697858,0.0269462,0.0282149,
297,bundle,0.00599834,0.0112979,0.0166655,
298,c-55,0.0152325,0.0211703,0.0309984,
299,c-61,0.00661975,0.0118647,0.0267249,
300,c-64,0.015824,0.0299021,0.0444366,
301,CondMat,0.0119268,0.0163259,0.0178543,
302,cage10,0.00766475,0.0132448,0.0177223,
303,ccc,0.00627641,0.0190127,0.0275362,
304,cfd,0.0157249,0.0202443,0.0298429,
305,Chem97Zt,0.00202771,0.00536693,0.00631364,
306,circuit,0.00859815,0.0115277,0.0236884,
307,ckt,0.0135574,0.0255916,0.0388083,
308,cnr,0.0128866,0.0220378,0.0319981,
309,conf5_4,0.00526035,0.0231647,0.015565,
310,copter,0.00562116,0.0112249,0.0177563,
311,coupled,0.00467274,0.0152571,0.0184112,
312,crash,0.0119074,0.0224549,0.0322106,
313,cryg,0.0057769,0.0131588,0.019957,
314,crystk,0.00366584,0.00866909,0.0117718,
315,d_pretok,0.0119677,0.0232585,0.0347666,
316,dac11,0.0354761,0.0690435,0.0922392,
317,dac14,0.0267658,0.0639692,0.0859168,
318,dac16,0.0355757,0.0592203,0.074598,
319,dac2,0.0318222,0.0669163,0.102175,
320,dac3,0.0323871,0.0640102,0.0849469,
321,dac6,0.0452147,0.070209,0.114972,
322,dac7,0.0397887,0.0899945,0.120338,
323,delta,0.00638457,0.0189702,0.0219646,
324,denormal,0.00943896,0.017255,0.0279846,
325,dict,0.00603531,0.0557368,0.0502941,
326,diel,0.0372798,0.0653945,0.0786283,
327,cova2,0.00676601,0.0141779,0.0250421,
328,ecl32,0.0171274,0.0163632,0.036159,
329,Emilia,0.0547897,0.088385,0.133606,
330,epb1,0.00638551,0.0140157,0.0222949,
331,ESOC,0.0281957,0.0890382,0.0514366,
332,Eternity,0.00742025,0.0308326,0.191553,
333,ex19,0.00246714,0.00924218,0.00952945,
334,F2,0.00787848,0.0160938,0.0229573,
335,fd18,0.0197741,0.0233247,0.0287552,
336,fem,0.00944642,0.0257362,0.0296109,
337,finan,0.00838636,0.013576,0.0234128,
338,flower,0.0128778,0.0244184,0.0543043,
339,foldoc,0.0127122,0.0292215,0.0244481,
340,Franz,0.0141533,0.0342073,0.0305497,
341,G2,0.0186755,0.0374952,0.0469286,
342,g7jac,0.00609814,0.0114469,0.0169579,
343,garon,0.00340228,0.0121979,0.0135057,
344,gearbox,0.0146996,0.0248542,0.0327141,
345,gemat,0.00745299,0.0095726,0.0137823,
346,graphics,0.00664626,0.0134706,0.0215659,
347,gyro,0.00318163,0.00665013,0.0184301,
348,H2O,0.013355,0.028673,0.0333661,
349,HEP,0.0119365,0.0430468,0.0289985,
350,HTC,0.0202614,0.0295628,0.0429319,
351,hvdc1,0.00565101,0.010789,0.0183487,
352,IG5,0.00500893,0.0306839,0.0577743,
353,Ill,0.00594692,0.0124256,0.0194553,
354,interp,0.0126874,0.0248105,0.0429823,
355,IMDB,0.0649615,0.408749,0.103909,
356,ibm01,0.00954807,0.0132518,0.0219435,
357,ibm02,0.0104954,0.0131828,0.0241886,
358,ibm03,0.00784815,0.0164029,0.0208985,
359,ibm04,0.00904808,0.014787,0.0268275,
360,ibm05,0.00977843,0.0205479,0.0458722,
361,ibm06,0.0083569,0.0255392,0.0228731,
362,ibm07,0.00942205,0.0169424,0.0324032,
363,ibm08,0.0103922,0.0163281,0.0359593,
364,ibm09,0.010109,0.0165429,0.0285468,
365,ibm10,0.014598,0.0162644,0.0327792,
366,ibm11,0.0118788,0.0188655,0.0270355,
367,ibm12,0.0110092,0.0243788,0.0284259,
368,ibm13,0.0119689,0.0254246,0.0346031,
369,ibm14,0.0170932,0.0195753,0.0355071,
370,ibm15,0.0165385,0.0290386,0.0373504,
371,ibm16,0.00924918,0.0200729,0.0314345,
372,kim1,0.00639374,0.0144397,0.0183398,
373,kkt,0.0737684,0.141406,0.197028,
374,duct3D,0.00774626,0.0142926,0.0260262,
375,lhr14,0.0030753,0.00656594,0.0105205,
376,li,0.00750828,0.0125929,0.0234475,
377,tissue,0.00512876,0.0143689,0.0179382,
378,Lin,0.0181474,0.0293336,0.0482021,
379,lp_nug,0.0138391,0.0168068,0.0242514,
380,lp_pds,0.0206323,0.0444879,0.0352297,
381,lung,0.00426981,0.00693598,0.0122293,
382,m14b,0.0120138,0.0301446,0.0344149,
383,mac,0.0135616,0.023397,0.0343383,
384,Maragal,0.0131761,0.013182,0.0241501,
385,mc2depi,0.0143125,0.0316022,0.0450961,
386,mixtank,0.00538353,0.0118242,0.0236105,
387,mono,0.0162113,0.028932,0.0598236,
388,mri1,0.00939106,0.0200662,0.0280289,
389,msc,0.00464114,0.0084437,0.0132728,
390,msdoor,0.019864,0.037193,0.0532894,
391,mult_dcop,0.0219711,0.0338884,0.0604652,
392,nasasrb,0.0117902,0.020647,0.0322989,
393,nd12k,0.0106751,0.0186129,0.02672,
394,net100,0.00908751,0.0287603,0.0311691,
395,nopoly,0.00678405,0.00937711,0.0137887,
396,actors,0.0226892,0.0326712,0.0419233,
397,www,0.00488418,0.0155039,0.187552,
398,obstclae,0.00677902,0.0162266,0.0235223,
399,olafu,0.00439048,0.0113552,0.0158954,
400,opt1,0.00588497,0.0084269,0.0202153,
401,Oregon,0.0120485,0.0149426,0.0309728,
402,p2p,0.0184955,0.0166697,0.0406452,
403,para,0.0140944,0.0439056,0.0323271,
404,parabolic,0.0135924,0.0324421,0.0426025,
405,Pd,0.0219394,0.0471382,0.0482373,
406,pdb,0.006636,0.0151379,0.0181412,
407,pds,0.0129515,0.0201246,0.0383091,
408,pesa,0.00891447,0.0118348,0.0196222,
409,PGP,0.00616445,0.0188003,0.0128966,
410,pkustk,0.00646671,0.0155098,0.0228791,
411,poisson3D,0.0136414,0.0204407,0.0275199,
412,poli3,0.00475402,0.00791228,0.0112002,
413,powersim,0.0044249,0.00794779,0.0130049,
414,pre2,0.0272607,0.0415072,0.0632053,
415,Pres,0.00356387,0.00829527,0.0115422,
416,psse2,0.00503622,0.0131224,0.0180099,
417,qa8fk,0.0103354,0.0195751,0.0332275,
418,rajat,0.0208699,0.0197552,0.0372185,
419,Reuters,0.0110328,0.0280475,0.0340484,
420,RFdevice,0.0104211,0.0206673,0.0357379,
421,rgg,0.0114339,0.0214722,0.033287,
422,rim,0.00338728,0.00968457,0.0260723,
423,rma,0.00622931,0.0160264,0.0186954,
424,Rucci,0.0544081,0.121745,0.121481,
425,s4dkt,0.0131159,0.0209245,0.0252536,
426,scfxm,0.0103063,0.0127583,0.0200649,
427,scircuit,0.0110445,0.026573,0.0327921,
428,shallow,0.00858624,0.0205767,0.0320982,
429,sherman,0.0180815,0.0250727,0.0349731,
430,ship,0.00478744,0.0116943,0.0159214,
431,shock,0.0139387,0.0292181,0.0392808,
432,shyy,0.010212,0.0178025,0.0322347,
433,skirt,0.00454788,0.0107308,0.0137442,
434,sme3D,0.00653165,0.0184013,0.0177321,
435,soc-sign,0.207957,0.033627,0.404806,
436,sparsine,0.0105199,0.0183691,0.0334115,
437,spmsrtls,0.00809368,0.0156822,0.0174477,
438,std1_Jac3,0.00745559,0.0165704,0.0248535,
439,stokes,0.00741371,0.0151571,0.0295471,
440,ted_A,0.00252975,0.00616411,0.00814927,
441,TF16,0.00697142,0.0161897,0.0395255,
442,thermal,0.00823259,0.01446,0.0229307,
443,therm,0.00903815,0.0175725,0.0310023,
444,tmt,0.026829,0.0519747,0.0690698,
445,tomogra,0.00756953,0.0187582,0.0335492,
446,torso,0.0184211,0.0276859,0.0507823,
447,Trec,0.00553378,0.00553378,0.00553378,
448,Trefe,0.0106854,0.0241003,0.0189691,
449,TSOPF,0.00638727,0.0192683,0.018554,
450,us04,0.00365176,0.0293714,0.0602102,
451,usroads,0.0108937,0.0207353,0.0263877,
452,venkat,0.00714589,0.0143961,0.0169595,
453,vibro,0.0103878,0.0162381,0.0173147,
454,plastic,0.00792997,0.0158718,0.0216482,
455,rocks,0.00610207,0.0130772,0.0240516,
456,wave3D,0.00737418,0.0127288,0.0231993,
457,wathen120,0.00697879,0.013504,0.0224567,
458,water,0.00931005,0.0143949,0.0311968,
459,wang4,0.0107515,0.0205971,0.0240573,
460,xenon,0.0128855,0.0230194,0.0352674,
461,Zhao,0.0084521,0.0180252,0.0251208,
462,G67,0.00698478,0.0185714,0.0201413,
463,af101,0.0506483,0.0890856,0.097945,
464,eco1,0.0360237,0.0581867,0.0900831,
465,ibm18,0.0106683,0.0281498,0.0366016,
466,ibm17,0.0151984,0.0285541,0.038767,
467,web1M,0.0250826,0.0358044,0.0620412,
468,nl120,0.157947,0.26112,0.314364,
469,sat_p,0.245684,0.404206,0.6242,
470,wbedu,0.0973756,0.23831,1.78431,
471,Stanf,0.0356204,0.0678065,0.072614,
472,gene2,0.0164175,0.0377796,0.0459543,
473,Hamr3,0.0297708,0.0470596,0.0826654,
474,StocF,0.0414068,0.0737907,0.101328,
475,lang,0.0468848,0.153436,0.123947,
476,kron,0.0667695,0.116745,0.159723,
477,case39,0.0219792,0.0219309,0.0379763,
