id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
113,sat_count,55724,329,949,1012,0.00896588,0.00994219,0.0204528
114,sat_count_p,55724,424,726,1074,0.00552485,0.00966097,0.0168125
115,sat_ctl_d,8806,982,2285,2510,0.00418629,0.0230941,0.0184584
116,sat_ctl,90812,0,2758,3990,0.00187974,0.00790417,0.0105937
117,sat_ctl_p,90812,0,16116,17492,0.00346826,0.00695474,0.00935612
118,sat_ctl_5_d,15232,2985,10628,10703,0.00560747,0.106937,0.0224835
119,sat_ctl_5,134756,5096,14165,11505,0.00810613,0.016874,0.0277612
120,sat_ctl_5_p,134756,4950,9677,13975,0.0045921,0.0102515,0.0127874
121,sat_dated_11_d,141860,3526,7779,8222,0.0105622,0.0353624,0.0348115
122,sat_dated_11,629461,10089,16021,18184,0.0124078,0.0263325,0.0366011
123,sat_dated_11_p,629461,8158,15720,14404,0.01025,0.018221,0.0362797
124,sat_dated_17_d,229544,6684,10969,13883,0.0103906,0.0217763,0.06124
125,sat_dated_17,1070757,16829,25032,27074,0.0215779,0.0362673,0.0454497
126,sat_dated_17_p,1070757,15439,25817,32133,0.0166625,0.0316115,0.0391262
127,sat_E02F20_d,10420,384,710,1302,0.011234,0.0194078,0.539321
128,sat_E02F20,395383,190,5073,9403,0.00607018,0.0174111,0.0225527
129,sat_E02F20_p,395383,211,8671,10641,0.0213641,0.031754,0.0459392
130,sat_E02F22_d,13574,486,956,1343,0.0329144,0.0550961,1.7688
131,sat_E02F22,1301188,231,6956,14437,0.0135931,0.0277372,0.0407726
132,sat_E02F22_p,1301188,367,9142,19540,0.0416899,0.075055,0.0986122
133,sat_gss-18_d,31364,249,410,547,0.00561954,0.00972889,0.0142335
134,sat_gss-18,94269,1253,3481,2989,0.00599001,0.0151694,0.0141944
135,sat_gss-18_p,94269,1454,2170,3132,0.00529015,0.00880622,0.0137363
136,sat_gss-19_d,31435,186,389,610,0.00588604,0.00967461,0.0152902
137,sat_gss-19,94548,1450,2323,3376,0.0105775,0.0125055,0.0229985
138,sat_gss-19_p,94548,1642,2565,3242,0.0057927,0.0105842,0.0137965
139,sat_gss-20_d,31503,311,456,642,0.00749123,0.0099261,0.0146887
140,sat_gss-20,94748,1622,3056,3127,0.00662061,0.0110958,0.018275
141,sat_gss-20_p,94748,1475,2590,3027,0.00552107,0.0128057,0.0138977
142,sat_gss-22_d,31616,276,514,616,0.00558642,0.00806597,0.0121972
143,sat_gss-22,95110,1515,3209,3517,0.00626509,0.0127326,0.0150855
144,sat_gss-22_p,95110,1774,3729,3614,0.00488009,0.00808265,0.0132194
145,sat_k45_d,163622,183,945,1094,0.0219171,0.0288601,0.0385587
146,sat_k45,488120,356,1052,1508,0.00718737,0.0131446,0.0251627
147,sat_k45_p,488120,558,1496,2726,0.0086699,0.0158513,0.0226003
148,sat_itox_d,152256,81,588,576,0.01609,0.0235986,0.034128
149,sat_itox,441729,31,2098,4431,0.0115269,0.0214933,0.0306069
150,sat_itox_p,441729,149,3414,2734,0.0104876,0.0252425,0.0521011
151,sat_k2fix_d,11313,3442,7528,9021,0.00546566,0.00955709,0.0152374
152,sat_k2fix,305160,0,40,197,0.00428527,0.0128042,0.0141571
153,sat_k2fix_p,305160,1665,3941,8398,0.0128968,0.0174504,0.0341044
154,sat_manol_c10_i_d,252516,1360,2176,3528,0.0114287,0.021886,0.0305868
155,sat_manol_c10_i,750877,7236,15281,18853,0.0214908,0.0392661,0.0473666
156,sat_manol_c10_i_p,750877,7620,20282,18495,0.0155723,0.0287177,0.0347846
157,sat_manol_c10_d,433601,3645,4140,7469,0.0134829,0.025256,0.0345972
158,sat_manol_c10,1291714,9628,22497,27383,0.0225354,0.0463902,0.0727395
159,sat_manol_c10_p,1291714,12314,27919,27745,0.0267411,0.0477307,0.0559328
160,sat_manol_c8_d,269048,1576,2585,5378,0.0160867,0.0205083,0.037082
161,sat_manol_c8,799867,9976,19720,22671,0.0212524,0.034531,0.0595452
162,sat_manol_c8_p,799867,8266,15345,19189,0.0171191,0.0292218,0.0476636
163,sat_manol_g10_i_d,266405,1609,3869,4498,0.0130319,0.0266505,0.0340017
164,sat_manol_g10_i,792175,8782,13288,16148,0.0203493,0.0342451,0.0519885
165,sat_manol_g10_i_p,792175,7748,14911,17773,0.0175846,0.0299235,0.0509246
166,sat_MD5-28-1_d,8282,739,1102,1680,0.00564609,0.00774595,0.0104068
167,sat_MD5-28-1,62558,4322,7832,9228,0.00957562,0.0180383,0.0212413
168,sat_MD5-28-1_p,62558,4181,7006,9621,0.00514096,0.00694293,0.0146177
169,sat_MD5-28-2_d,8281,614,1158,1657,0.00616083,0.0102282,0.0103518
170,sat_MD5-28-2,62554,4843,8296,9670,0.00846856,0.0153981,0.0214188
171,sat_MD5-28-2_p,62554,4254,7505,9296,0.00520394,0.00765631,0.0125953
172,sat_MD5-28-4_d,8281,618,1036,1636,0.00649456,0.00857822,0.00903361
173,sat_MD5-28-4,62544,4315,8119,10459,0.00462481,0.00992005,0.0123751
174,sat_MD5-28-4_p,62544,4027,9645,9698,0.00775304,0.0140337,0.0177194
