id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
344,gearbox,153746,1723,5998,8514,0.00756528,0.0190143,0.026193
345,gemat,4929,71,224,365,0.0150439,0.0163293,0.0161296
346,graphics,29493,558,1464,1518,0.00229104,0.00635888,0.00738283
347,gyro,17361,321,1095,1032,0.00257846,0.00529269,0.0120476
348,H2O,67024,13952,31399,41836,0.0105024,0.0184413,0.022631
349,HEP,24541,4411,13602,15340,0.0227691,0.0188571,0.0296533
350,HTC,226340,1983,8955,16291,0.0357608,0.0554931,0.0854455
351,hvdc1,24842,113,285,504,0.00366742,0.00763587,0.0109566
352,IG5,30162,0,16423,17755,0.00543904,0.0189248,0.0
353,Ill,20896,1312,2424,3126,0.00397117,0.00843574,0.0140321
354,interp,232485,946,2264,2691,0.00683254,0.0115897,0.0201904
355,IMDB,303617,25333,81631,79112,0.0768515,0.0823972,0.101492
356,ibm01,14111,317,841,987,0.00649104,0.00921334,0.0111246
357,ibm02,19584,401,960,1566,0.00541085,0.0102143,0.0162252
358,ibm03,27401,1430,2269,3561,0.00500605,0.0176941,0.0208919
359,ibm04,31970,597,1458,2418,0.00557453,0.0107319,0.0300364
360,ibm05,28446,2397,6193,6001,0.00786678,0.0146361,0.0349486
361,ibm06,34826,1104,2631,2759,0.00842742,0.0112528,0.0177467
362,ibm07,48117,1817,3059,3778,0.00884054,0.0100956,0.0188509
363,ibm08,50513,1303,2590,3664,0.00617158,0.017655,0.0331821
364,ibm09,60902,1128,2770,3139,0.00590762,0.0164467,0.0140502
365,ibm10,75196,2004,4130,5297,0.00667459,0.0129155,0.0151604
366,ibm11,81454,1267,2530,4341,0.00624691,0.0166325,0.0262974
367,ibm12,77240,2389,4772,5959,0.00853782,0.0235875,0.0369534
368,ibm13,99666,1444,3676,3514,0.0055112,0.0164323,0.0168346
369,ibm14,152772,3457,5639,7322,0.0090767,0.0176597,0.0259294
370,ibm15,186608,3981,10250,8367,0.0131749,0.02007,0.0290747
371,ibm16,190048,3167,5735,7655,0.0116999,0.0204654,0.038463
372,kim1,38415,1254,2568,2734,0.00695417,0.0124825,0.018867
373,kkt,2063494,15505,56341,39907,0.0459001,0.0770518,0.1045
374,duct3D,67173,3505,7693,12806,0.00733738,0.0143929,0.0264341
375,lhr14,14270,174,570,372,0.00233539,0.00468298,0.0063383
376,li,22695,3463,8936,13569,0.00578243,0.0101577,0.0160254
377,tissue,29282,626,1190,1388,0.00395654,0.00894583,0.0118174
378,Lin,256000,6960,12394,16583,0.0101851,0.0200145,0.0252486
379,lp_nug,15240,12825,24958,33175,0.00911517,0.0102286,0.0144726
380,lp_pds,33798,1113,2893,4387,0.00850957,0.0116081,0.0292016
381,lung,109460,28,120,124,0.00412682,0.0057881,0.01029
382,m14b,214765,2039,6335,9771,0.012386,0.0195759,0.031109
383,mac,206500,402,1333,1616,0.00980336,0.0188641,0.0271399
384,Maragal,21251,2510,4544,6410,0.0453887,0.0455957,0.0520096
385,mc2depi,525825,1820,3012,4336,0.00876592,0.0172179,0.0237041
386,mixtank,29957,4108,14506,13149,0.00629619,0.0114751,0.0153318
387,mono,169410,11031,24923,31284,0.0139824,0.0325511,0.0549381
388,mri1,65536,561,1248,1300,0.00655882,0.0104568,0.0154608
389,msc,10848,1785,3729,5133,0.00412678,0.00892518,0.0230596
390,msdoor,415863,2128,4739,6006,0.0120816,0.0298672,0.0319683
391,mult_dcop,25187,11865,19655,25103,0.109862,0.12226,0.128785
392,nasasrb,54870,934,3176,5381,0.00566541,0.010566,0.0164627
393,nd12k,36000,12667,26531,38423,0.00919753,0.0181275,0.0308382
394,net100,29920,10294,33496,32082,0.00891027,0.0116993,0.017395
395,nopoly,10774,72,229,210,0.00266899,0.00431584,0.00675982
396,actors,383640,12372,26343,28826,0.0172332,0.0251822,0.0363543
397,www,137941,13,796,732,0.00381526,0.00852138,0.158596
398,obstclae,40000,420,1229,1382,0.00343293,0.007832,0.0114658
399,olafu,16146,947,2461,3467,0.00311402,0.0062657,0.0107124
400,opt1,15449,1980,5568,5828,0.00290736,0.00763507,0.0089065
401,Oregon,11174,482,835,1561,0.00728157,0.0110426,0.0211984
402,p2p,6221,3664,6898,9142,0.0149628,0.0151162,0.0251505
403,para,153226,11045,17812,25524,0.0267184,0.0525216,0.0503537
404,parabolic,525825,1374,3320,5684,0.0122293,0.0286236,0.0343082
405,Pd,4371,0,0,0,0.0145087,0.0273888,0.0307836
406,pdb,36417,2940,5243,7004,0.00386432,0.00903053,0.0116382
407,pds,142596,1192,4420,5110,0.00801277,0.0170521,0.0218341
408,pesa,11738,109,404,322,0.00228902,0.0053056,0.00808805
409,PGP,10680,440,1208,1206,0.00383578,0.00590936,0.00851859
410,pkustk,87804,3114,6780,13812,0.00690042,0.0133397,0.0181069
411,poisson3D,85623,5245,11716,16729,0.0101435,0.015295,0.0238308
412,poli3,16955,108,321,462,0.0028393,0.00578506,0.00841581
413,powersim,15838,56,197,320,0.00414637,0.00476059,0.00798934
414,pre2,659033,4721,9389,15645,0.0187022,0.0344922,0.0420407
415,Pres,14822,646,2028,1970,0.00277635,0.00628839,0.00965107
416,psse2,28634,150,380,506,0.00379085,0.00620298,0.0105591
417,qa8fk,66127,968,5067,8425,0.00797091,0.0140011,0.0219324
418,rajat,51032,40,241,327,0.0229507,0.0210035,0.0394705
419,Reuters,13314,5574,11782,14611,0.0142955,0.0180283,0.0343639
420,RFdevice,74104,2118,3641,5690,0.00870157,0.0214615,0.026473
421,rgg,262141,1294,3400,2846,0.0060496,0.012041,0.016873
422,rim,22560,544,2111,1817,0.00303872,0.00689162,0.0201929
423,rma,46835,534,2081,2549,0.00609722,0.00884811,0.0141761
424,Rucci,1977885,56507,113110,118625,0.0474468,0.0821386,0.101117
425,s4dkt,90449,1458,3363,5793,0.00444749,0.00837667,0.0126488
426,scfxm,37980,991,1892,2039,0.00502218,0.0134434,0.0141758
427,scircuit,170998,64,476,1289,0.00876653,0.0143152,0.0202808
428,shallow,81920,794,1753,2119,0.00669254,0.0136814,0.0184875
429,sherman,18510,6374,10609,17945,0.0414121,0.0460123,0.0452781
430,ship,34920,1584,5496,7977,0.00423178,0.0089688,0.0121314
431,shock,36476,407,1206,1581,0.0100345,0.01613,0.021747
432,shyy,76480,339,906,1083,0.00672419,0.0117153,0.0149312
433,skirt,12598,60,172,110,0.00334186,0.00707394,0.00726099
434,sme3D,29067,1068,7236,7308,0.00383846,0.00998387,0.0192891
435,soc-sign,95318,1405,13977,14383,0.0108609,0.03969,0.136424
436,sparsine,50000,20498,37476,50099,0.00708678,0.0192708,0.0245087
437,spmsrtls,29995,120,1261,348,0.00374774,0.00588858,0.00750597
438,std1_Jac3,21982,1449,5618,3930,0.00683366,0.0130101,0.0232459
439,stokes,49666,976,1699,3155,0.0036105,0.00841293,0.0197092
440,ted_A,10605,138,812,600,0.00270138,0.00380211,0.0120428
441,TF16,15437,5575,12302,17679,0.00312058,0.0132792,0.0251744
442,thermal,82654,354,1351,1842,0.00453894,0.00939286,0.0137749
443,therm,102158,927,828,2105,0.00747539,0.0124707,0.017957
444,tmt,917825,2414,9638,7389,0.0183691,0.038691,0.0604047
445,tomogra,45908,3514,6015,8159,0.0161931,0.0140876,0.0269793
446,torso,259156,7994,12568,18104,0.00828957,0.0150061,0.0252823
447,Trec,3159,3079,5558,8432,0.00947462,0.0219461,0.0261197
448,Trefe,20000,17375,36293,47650,0.00781978,0.00728346,0.0210479
449,TSOPF,30798,14083,24955,27200,0.911835,0.91331,0.920229
450,us04,163,91,170,0,0.0260261,0.0306025,0.0
451,usroads,129164,244,412,792,0.00925904,0.0138301,0.0247113
452,venkat,62424,888,1860,2496,0.00479363,0.00896138,0.0115289
453,vibro,12328,2933,7292,8742,0.00351126,0.0132876,0.0114536
454,plastic,32769,1773,4201,5742,0.00462237,0.017942,0.0196027
455,rocks,37762,482,2796,3048,0.00390643,0.0108862,0.00967622
456,wave3D,21036,769,1467,2401,0.0046577,0.00800787,0.0138873
457,wathen120,36441,929,1791,2726,0.00483133,0.0101784,0.0110785
458,water,60740,4670,7363,9952,0.00661197,0.011505,0.0165337
459,wang4,26068,2003,4169,5656,0.00829658,0.0094537,0.0143004
460,xenon,157464,4213,11295,12555,0.00994173,0.0148235,0.0236856
461,Zhao,33861,728,1606,2425,0.00496288,0.0110519,0.0189079
462,G67,10000,0,475,477,0.00168384,0.00617653,0.00640141
463,af101,503625,4405,6835,11110,0.0270126,0.0483804,0.0611506
464,eco1,1000000,2899,4304,7675,0.0145732,0.0250021,0.0356234
465,ibm18,201920,2385,4392,5836,0.0110531,0.0195134,0.0235032
466,ibm17,189581,3080,7592,8568,0.013625,0.01671,0.0296966
467,web1M,1000005,624,3603,3556,0.0322888,0.0482207,0.0794801
468,nl120,3542400,98010,178681,225383,0.149567,0.221759,0.290638
469,sat_p,13378010,350004,1512276,1946154,0.474313,1.27494,0.99221
470,wbedu,6920306,13853,58006,81358,0.0948646,0.189192,1.35833
471,Stanf,261588,216,498,2926,0.278429,0.379024,0.461126
472,gene2,14340,12687,25627,37915,0.088873,0.127285,0.132054
473,Hamr3,1447360,2573,8465,18279,0.0216742,0.0428131,0.0504329
474,StocF,1465137,7992,34392,24001,0.0342501,0.0617148,0.159116
475,lang,399130,21286,35180,48254,0.160771,0.176788,0.208696
476,kron,55321,17055,40373,56913,0.076285,0.104912,0.14491
477,case39,40216,12734,22176,33363,0.114318,0.1274,0.122677
478,dac9,833808,4504,6140,10528,0.0591964,0.10347,0.128013
479,dac12,1293436,9848,16430,21318,0.0810259,0.162016,0.142122
480,dac19,511685,3082,38428,12421,0.065876,0.120035,0.125256
481,tran4,116835,55401,120772,93931,2.78018,2.80671,2.94509
482,Cheb4,68121,1426,5673,3268,1.03113,1.03886,1.04484
483,sat_d,521147,15394,23125,32498,11.7309,11.6738,12.9115
484,HV15R,2017169,70635,259469,293552,0.327461,0.497837,0.59115
485,gupta2,62064,34403,52391,64257,0.0504774,0.085891,0.09628
486,ASIC,682862,341886,657895,640654,37.1934,37.6431,38.8377
487,ASIC320k,321821,174996,300203,361491,17.0867,17.2241,17.4949
488,wiki-Talk,147602,8705,12769,18161,1.19063,2.83146,4.77279
489,com-Youtube,1134890,83205,176457,223109,0.393853,0.687209,2.16483
490,Freescal,3428755,2881,3932,4853,0.0265099,0.0513077,0.0639167
491,roadNet-CA,1965206,573,1250,1728,0.0221499,0.0335704,0.05988
492,delaunay23,8388608,9123,15780,21647,0.100149,0.178872,0.226303
493,coPapersDBLP,540486,205244,397934,561979,0.0656038,0.153399,0.183523
494,dc1,116835,55401,120772,93931,2.78135,2.80803,2.94301
495,channel,4802000,28343,112361,95837,0.26891,0.416268,0.50341
496,as-Skitter,1696415,178517,350915,369261,0.470549,0.497389,0.894078
497,ASIC_100k,99340,50699,84464,105272,1.87767,1.88351,2.00136
498,dc2,116835,55401,120772,93931,2.77733,2.80647,2.935
499,tran5,116835,55401,120772,93931,2.78006,2.81454,2.94491
