id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
61,sat_27_d,7729,211,376,658,0.0137352,0.0149384,0.016765
62,sat_27,29194,2852,5126,5606,0.00795629,0.0140735,0.0178647
63,sat_27_p,29194,3201,4902,5468,0.00520758,0.014143,0.0138382
64,sat_enc1_opt1_05_d,59517,828,1368,2014,0.0117883,0.0174501,0.0294134
65,sat_enc1_opt1_05,561784,3645,6393,8202,0.018114,0.0286208,0.0348179
66,sat_enc1_opt1_05_p,561784,2918,4815,5081,0.0146322,0.0345959,0.0362598
67,sat_enc1_opt1_10_d,46993,451,803,1149,0.00692461,0.0131268,0.0178673
68,sat_enc1_opt1_10,270831,1854,3189,3148,0.00995225,0.0232576,0.0167532
69,sat_enc1_opt1_10_p,270831,3114,5514,4677,0.00739184,0.0138917,0.0185149
70,sat_enc1_opt1_15_d,61642,724,1411,1530,0.0101851,0.0201549,0.0267752
71,sat_enc1_opt1_15,644099,2235,4033,3554,0.0151868,0.034519,0.0549539
72,sat_enc1_opt1_15_p,644099,2927,3700,4840,0.0184877,0.0292266,0.0440651
73,sat_enc1_opt2_4_d,14636,548,1072,1718,0.00843539,0.0155781,0.0274425
74,sat_enc1_opt2_4,386163,357,773,950,0.00702838,0.0154878,0.021016
75,sat_enc1_opt2_4_p,386163,495,1363,1498,0.00638704,0.0132428,0.0206659
76,sat_enc1_opt2_12_d,9495,370,802,1261,0.00496845,0.00985112,0.0150207
77,sat_enc1_opt2_12,147853,382,729,785,0.00746093,0.0115516,0.0162998
78,sat_enc1_opt2_12_p,147853,789,1646,3120,0.00454899,0.0118669,0.0174795
79,sat_enc1_opt2_16_d,9643,398,899,1353,0.00631277,0.0110625,0.0160954
80,sat_enc1_opt2_16,152744,424,801,770,0.00584282,0.0125879,0.0128002
81,sat_enc1_opt2_16_p,152744,727,1266,1586,0.00666365,0.0108027,0.016032
82,sat_enc2_opt1_05_d,56533,705,1321,1720,0.00831958,0.0253699,0.0294401
83,sat_enc2_opt1_05,526872,1440,2880,4145,0.0105462,0.0181975,0.0303099
84,sat_enc2_opt1_05_p,526872,1980,4274,6142,0.0102107,0.0221604,0.0413324
85,sat_enc2_opt1_15_d,58752,674,1215,1545,0.00878941,0.0176453,0.0308027
86,sat_enc2_opt1_15,580963,1488,2979,5391,0.0115551,0.0226834,0.0367028
87,sat_enc2_opt1_15_p,580963,2064,4298,6023,0.0156813,0.0286204,0.0369607
88,sat_enc3_opt1_50_d,1613160,3958,6613,7965,0.0479011,0.100881,0.111869
89,sat_enc3_opt1_50,6429816,17953,54965,54888,0.242104,0.352243,0.45176
90,sat_enc3_opt1_50_p,6429816,1980,5452,8650,0.0696224,0.122953,0.166797
91,sat_enc3_opt2_21_d,1484061,3230,3573,6588,0.0382011,0.0526884,0.0858407
92,sat_enc3_opt2_21,5933456,903,1867,6293,0.0585646,0.103265,0.135905
93,sat_enc3_opt2_21_p,5933456,4304,2529,14102,0.0669775,0.119534,0.154547
94,sat_enc3_opt2_12_d,1236271,2428,4042,4815,0.0383463,0.0660786,0.075078
95,sat_enc3_opt2_12,4932603,1449,5052,6459,0.0496255,0.0889192,0.131497
96,sat_enc3_opt2_12_p,4932603,12096,13064,20152,0.0554081,0.103368,0.129966
97,sat_enc3_opt2_14_d,1240678,3491,4129,6585,0.0365714,0.0684624,0.0749939
98,sat_enc3_opt2_14,4950217,1362,4267,4983,0.0522707,0.0871405,0.126514
99,sat_enc3_opt2_14_p,4950217,7359,10940,16263,0.0567343,0.103315,0.128813
100,sat_blocks_d,559571,1521,11578,10110,0.0559087,0.0959472,0.151438
101,sat_blocks,10223027,19987,43346,62347,0.150937,0.255698,0.337374
102,sat_blocks_p,10223027,21984,54432,84823,0.204936,0.340736,0.435063
103,sat_bob-opt_d,51144,174,321,364,0.012139,0.0180186,0.0290746
104,sat_bob-opt,152446,1427,2559,2092,0.0088617,0.00994688,0.0301917
105,sat_bob-opt_p,152446,421,6852,5344,0.00426723,0.010229,0.0223779
106,sat_bob_d,26294,248,827,1008,0.00759171,0.0124741,0.0215518
107,sat_bob,77920,1919,4622,4404,0.00721433,0.0138006,0.0285295
108,sat_bob_p,77920,2039,4705,5107,0.00514893,0.0129468,0.0167823
109,sat_c10_d,133998,1496,1736,3398,0.0212044,0.0494346,0.0389651
110,sat_c10,398467,6731,14196,16012,0.0118015,0.0282974,0.0320612
111,sat_c10_p,398467,7909,13741,19766,0.0166857,0.0276919,0.0332193
112,sat_count_d,18607,117,235,385,0.0120362,0.0143937,0.020054
113,sat_count,55724,379,866,994,0.00614643,0.0100693,0.0195878
114,sat_count_p,55724,424,726,1074,0.0055225,0.00969776,0.0155924
115,sat_ctl_d,8806,982,2285,2510,0.00461555,0.0229163,0.0184572
116,sat_ctl,90812,0,3187,3722,0.00210781,0.007084,0.0101145
117,sat_ctl_p,90812,1710,20184,7018,0.00457971,0.00687328,0.0165915
118,sat_ctl_5_d,15232,2985,10628,10703,0.00543878,0.104952,0.0223785
119,sat_ctl_5,134756,5096,10346,12531,0.00919162,0.027221,0.0261509
120,sat_ctl_5_p,134756,4950,9677,12093,0.0049551,0.00992723,0.0149687
121,sat_dated_11_d,141860,3743,7774,8928,0.0112544,0.02349,0.0347965
122,sat_dated_11,629461,10089,16021,18184,0.0151763,0.0280319,0.0386482
123,sat_dated_11_p,629461,8158,15321,14398,0.00984768,0.0151402,0.0255758
124,sat_dated_17_d,229544,6684,10969,13883,0.011419,0.0235558,0.065908
125,sat_dated_17,1070757,16829,25032,27074,0.0215266,0.0397497,0.0463116
126,sat_dated_17_p,1070757,15439,25817,32133,0.0187029,0.0365652,0.0432452
127,sat_E02F20_d,10420,384,710,1302,0.0334515,0.0575199,0.567097
128,sat_E02F20,395383,190,4849,9502,0.00637133,0.018081,0.0209846
129,sat_E02F20_p,395383,223,8507,10383,0.0212877,0.0335553,0.0521238
130,sat_E02F22_d,13574,486,956,1343,0.14293,0.220387,1.93889
131,sat_E02F22,1301188,243,7721,15307,0.0138653,0.0258176,0.0476742
132,sat_E02F22_p,1301188,367,9142,20812,0.0504449,0.0861173,0.106539
133,sat_gss-18_d,31364,284,410,563,0.00597722,0.00938518,0.0154217
134,sat_gss-18,94269,1253,3481,2989,0.00536592,0.0134372,0.0139634
135,sat_gss-18_p,94269,1454,2170,3132,0.00499597,0.00829302,0.0135153
136,sat_gss-19_d,31435,186,389,610,0.00534285,0.00968384,0.0142311
137,sat_gss-19,94548,1450,2323,3376,0.00978778,0.0116668,0.0231722
138,sat_gss-19_p,94548,1642,2565,3242,0.00536896,0.0103277,0.0139129
139,sat_gss-20_d,31503,311,485,703,0.00695891,0.0096343,0.0131325
140,sat_gss-20,94748,1622,3056,3127,0.00627648,0.0103745,0.0177836
141,sat_gss-20_p,94748,1475,2590,3027,0.00562976,0.0110239,0.0133301
142,sat_gss-22_d,31616,276,514,616,0.0052481,0.00825662,0.0115402
143,sat_gss-22,95110,1515,3209,3517,0.00677549,0.0119951,0.0164848
144,sat_gss-22_p,95110,1947,3161,3448,0.0048825,0.00836912,0.0120881
145,sat_k45_d,163622,183,945,1094,0.0225122,0.0296949,0.0394909
146,sat_k45,488120,1089,1285,2354,0.0079457,0.0194479,0.032609
147,sat_k45_p,488120,841,1151,2027,0.00805897,0.0164632,0.0220728
148,sat_itox_d,152256,79,548,1111,0.0606239,0.0773689,0.117433
149,sat_itox,441729,31,1483,4431,0.0127931,0.0274416,0.0314249
150,sat_itox_p,441729,149,3414,2734,0.0113822,0.0266447,0.0535552
151,sat_k2fix_d,11313,3482,7007,9396,0.00582858,0.0108889,0.0166679
152,sat_k2fix,305160,0,40,197,0.00448035,0.0127728,0.0145851
153,sat_k2fix_p,305160,1665,3722,8630,0.0132228,0.0195825,0.0339865
154,sat_manol_c10_i_d,252516,1360,2176,3528,0.0254838,0.036892,0.0435968
155,sat_manol_c10_i,750877,7236,19555,18853,0.0217487,0.0499333,0.0449165
156,sat_manol_c10_i_p,750877,15781,16114,30184,0.0170567,0.0290176,0.0340757
157,sat_manol_c10_d,433601,3645,4140,7482,0.0266193,0.0406168,0.0465163
158,sat_manol_c10,1291714,9628,22497,27391,0.0264526,0.0514965,0.0742187
159,sat_manol_c10_p,1291714,12314,28184,26750,0.0294026,0.0465602,0.060819
160,sat_manol_c8_d,269048,1657,4705,4107,0.0182555,0.0276057,0.0450104
161,sat_manol_c8,799867,9976,19720,22671,0.0236776,0.0391443,0.0642237
162,sat_manol_c8_p,799867,8266,15345,19189,0.0185257,0.0329382,0.0526475
