id,dataset,cutk2,extimek2,cutk3,extimek3,cutk4,extimek4,hedges
107,sat_bob,1705,4.638,2399,9.808,3406,9.942,77920
108,sat_bob_p,1732,3.519,2469,5.37,3541,5.499,77920
109,sat_c10_d,712,12.04,1138,16.521,1527,19.787,133998
110,sat_c10,5215,29.276,9208,67.008,10970,72.937,398467
111,sat_c10_p,4852,21.383,8832,35.075,11301,39.177,398467
112,sat_count_d,96,1.823,160,2.067,224,2.687,18607
113,sat_count,289,1.375,512,2.506,735,2.811,55724
114,sat_count_p,303,1.168,526,1.624,749,2.006,55724
115,sat_ctl_d,2285,7.581,2207,8.466,1430,15.376,8806
116,sat_ctl,0,2.089,0,4.805,1983,5.456,90812
117,sat_ctl_p,0,2.476,0,5.127,3227,5.466,90812
118,sat_ctl_5_d,3805,5.359,3655,18.301,4639,17.778,15232
119,sat_ctl_5,4170,5.174,6769,14.254,9867,14.234,134756
120,sat_ctl_5_p,4170,4.981,6851,11.253,9976,10.07,134756
121,sat_dated_11_d,1487,50.811,2097,100.878,2528,115.954,141860
122,sat_dated_11,4197,45.477,5724,56.214,6851,77.564,629461
123,sat_dated_11_p,5195,18.228,7761,41.429,9190,36.136,629461
124,sat_dated_17_d,2426,142.623,3353,236.789,3941,266.648,229544
125,sat_dated_17,6636,63.739,8806,120.45,10400,117.857,1070757
126,sat_dated_17_p,8256,38.316,11598,116.928,13621,85.888,1070757
127,sat_E02F20_d,1121,3.268,1128,9.523,1123,13.126,10420
128,sat_E02F20,190,50.836,6568,150.584,8625,146.145,395383
129,sat_E02F20_p,190,38.666,6932,87.262,9868,89.781,395383
130,sat_E02F22_d,9868,89.781,9868,89.781,9868,89.781,13574
131,sat_E02F22,231,409.592,10495,1420.718,13129,1134.913,1301188
132,sat_E02F22_p,231,260.979,11670,695.448,14377,404.581,1301188
133,sat_gss-18_d,89,3.273,152,5.507,220,5.65,31364
134,sat_gss-18,816,2.566,1297,5.357,1681,5.544,94269
135,sat_gss-18_p,840,1.819,1334,3.194,1771,4.368,94269
136,sat_gss-19_d,91,3.015,157,5.765,225,6.953,31435
137,sat_gss-19,940,2.569,1466,5.135,1839,5.476,94548
138,sat_gss-19_p,928,1.923,1437,3.863,1835,4.349,94548
139,sat_gss-20_d,94,3.112,160,5.267,226,6.458,31503
140,sat_gss-20,954,2.879,1486,4.568,1839,6.06,94748
141,sat_gss-20_p,968,1.947,1539,3.663,1825,4.611,94748
142,sat_gss-22_d,95,2.98,159,5.906,225,5.871,31616
143,sat_gss-22,1010,2.854,1536,4.9,1859,6.056,95110
144,sat_gss-22_p,1023,1.709,1531,3.197,1902,4.081,95110
145,sat_k45_d,101,9.805,202,23.335,303,26.924,163622
146,sat_k45,302,21.533,604,34.503,906,39.772,488120
147,sat_k45_p,302,19.881,604,23.453,906,20.127,488120
148,sat_itox_d,88,6.468,208,17.345,216,18.916,152256
149,sat_itox,28,20.716,1044,29.277,1941,41.634,441729
150,sat_itox_p,28,7.316,1119,10.307,1767,13.786,441729
151,sat_k2fix_d,4770,12.067,4531,47.469,5148,44.887,11313
152,sat_k2fix,0,6.52,0,10.146,0,12.523,305160
153,sat_k2fix_p,1297,6.43,1256,8.672,2426,11.753,305160
154,sat_manol_c10_i_d,1144,34.142,1474,46.992,1710,49.893,252516
155,sat_manol_c10_i,5755,64.823,8432,165.452,13695,157.42,750877
156,sat_manol_c10_i_p,5802,31.304,9616,75.87,12427,77.618,750877
157,sat_manol_c10_d,1325,45.333,1785,69.819,2903,83.753,433601
158,sat_manol_c10,7106,166.2,12177,288.833,17731,348.765,1291714
159,sat_manol_c10_p,9666,127.858,11268,133.114,17624,154.09,1291714
160,sat_manol_c8_d,1213,29.434,1481,45.526,2042,54.336,269048
161,sat_manol_c8,5358,125.932,9485,177.624,13347,186.541,799867
162,sat_manol_c8_p,6535,46.097,8531,83.946,14079,104.3,799867
163,sat_manol_g10_i_d,987,26.526,1376,55.315,2442,49.524,266405
164,sat_manol_g10_i,5803,120.887,8701,143.957,11244,194.093,792175
165,sat_manol_g10_i_p,5958,40.586,8767,75.389,11822,68.068,792175
166,sat_MD5-28-1_d,448,1.401,650,2.989,827,3.528,8282
167,sat_MD5-28-1,3483,2.736,5106,4.427,6377,5.531,62558
168,sat_MD5-28-1_p,3489,1.198,5055,2.084,6469,1.985,62558
169,sat_MD5-28-2_d,453,1.53,650,4.963,774,3.542,8281
170,sat_MD5-28-2,3483,2.956,5108,5.341,6447,6.209,62554
171,sat_MD5-28-2_p,3483,1.222,5026,1.99,6490,1.967,62554
172,sat_MD5-28-4_d,453,1.123,641,2.983,783,3.346,8281
173,sat_MD5-28-4,3483,2.765,5080,4.807,6478,6.246,62544
174,sat_MD5-28-4_p,3483,1.009,5059,1.887,6586,1.928,62544
175,sat_MD5-29-4_d,496,2.333,743,3.974,817,3.663,8590
176,sat_MD5-29-4,3855,3.171,5318,4.746,6532,6.047,65312
177,sat_MD5-29-4_p,3733,1.552,5809,2.055,6990,2.863,65312
178,sat_MD5-30-4_d,482,1.982,731,4.339,871,4.067,8905
179,sat_MD5-30-4,4089,3.491,5830,6.317,7021,5.748,68106
180,sat_MD5-30-4_p,4133,2.007,5827,2.088,7438,2.722,68106
181,sat_MD5-30-5_d,520,2.14,728,4.796,868,3.986,8905
182,sat_MD5-30-5,4119,3.588,5910,6.027,7303,6.914,68103
183,sat_MD5-30-5_p,4088,1.203,5995,2.301,7478,2.765,68103
184,sat_min_d,1006,46.01,1360,56.1,1499,76.942,249327
185,sat_min,2170,46.443,8680,81.094,20583,129.623,746444
186,sat_min_p,2174,29.393,8801,75.278,20253,87.668,746444
187,sat_p30_d,181,103.073,362,196.831,543,167.54,324116
188,sat_p30,3226,75.93,6450,115.828,9674,169.028,1643601
189,sat_p30_p,4271,68.274,8542,115.059,12813,137.957,1643601
190,sat_p30_NOT_d,181,26.351,362,34.835,543,43.95,95456
191,sat_p30_NOT,3226,20.578,6452,35.606,9676,39.097,483561
192,sat_p30_NOT_p,4271,15.541,8542,27.474,12813,28.993,483561
193,sat_non_p30_d,181,100.374,362,181.061,543,218.852,324116
194,sat_non_p30,3225,79.675,6452,138.955,9675,158.45,1643601
195,sat_non_p30_p,4271,74.232,8542,117.287,12813,143.069,1643601
196,sat_post_d,3072,62.594,2740,101.562,3072,138.355,276895
197,sat_post,1303,95.108,1651,105.808,2139,208.591,1607567
198,sat_post_p,1547,38.356,1802,120.372,1515,113.36,1607567
199,sat_post-ee_d,3048,72.41,2672,95.916,3072,129.952,266199
200,sat_post-ee,1028,50.388,1314,96.112,1295,130.747,1575975
201,sat_post-ee_p,2707,37.506,1508,64.032,3351,112.035,1575975
202,sat_L100_d,2062,35.701,2317,82.99,2502,86.568,315617
203,sat_L100,60488,152.944,127384,597.296,157496,420.523,1522583
204,sat_L100_p,60494,117.552,144919,303.455,195456,284.182,1522583
205,sat_L150_d,3372,53.719,2313,110.069,3519,130.658,486992
206,sat_L150,94463,257.129,257309,1138.62,242474,604.892,2456708
207,sat_L150_p,94469,278.793,315035,1149.764,292162,775.245,2456708
208,sat_L200_d,292162,775.245,292162,775.245,292162,775.245,670867
209,sat_L200,130938,525.752,430323,1512.706,,,3513333
210,sat_L200_p,176279,468.144,418381,2915.573,297240,832.616,3513333
211,sat_L80_d,1695,26.733,1903,57.13,1945,56.559,250567
212,sat_L80,47598,101.44,101371,432.796,111366,285.562,1183233
213,sat_L80_p,47608,96.209,171826,314.179,154075,253.94,1183233
214,sat_k100_1d,680,266.431,1266,822.331,1981,694.122,1621762
215,sat_k100_1,1165,742.489,2338,1286.609,3499,1444.31,6356704
216,sat_k100_1p,1173,343.874,2350,1268.739,3537,1121.685,6356704
217,sat_k100_2d,665,348.359,1422,512.109,2019,650.083,1621756
218,sat_k100_2,1168,709.828,2328,966.447,3496,1444.082,6356692
219,sat_k100_2p,1167,375.414,2340,872.617,3562,875.498,6356692
220,sat_k70_d,701,189.295,1304,535.544,1921,528.758,1131652
221,sat_k70,1164,464.402,2328,725.464,3498,1064.217,4433524
222,sat_k70_p,1176,371.84,2404,741.563,3571,624.821,4433524
223,sat_k75_d,631,281.154,1245,403.209,1938,483.001,1213331
224,sat_k75,1164,587.178,2335,1048.522,3500,1107.825,4754042
225,sat_k75_p,1171,298.012,2341,640.424,3888,744.109,4754042
226,sat_k80_d,622,227.961,1336,518.517,1944,513.333,1295022
227,sat_k80,1164,734.461,2331,1123.853,3496,1145.571,5074584
228,sat_k80_p,1170,567.723,2707,638.372,3563,750.999,5074584
229,sat_k85_2d,631,207.514,1266,502.642,2056,540.49,1376701
230,sat_k85_2,1167,774.107,2328,889.791,3492,1163.628,5395102
231,sat_k85_2p,1173,448.47,2353,662.667,3607,1157.542,5395102
232,sat_k85_3d,627,229.146,1264,596.089,1891,561.321,1376701
233,sat_k85_3,1171,825.807,2332,1023.67,3499,1186.527,5395102
234,sat_k85_3p,1170,567.097,2402,593.105,3525,895.484,5395102
235,sat_k90_d,822,297.475,1357,539.314,1958,636.718,1458392
236,sat_k90,1164,700.039,2332,849.327,3496,1202.454,5715644
237,sat_k90_p,1164,363.914,2349,754.558,3641,883.712,5715644
238,sat_k95_d,685,302.392,1234,623.299,1920,647.728,1540071
239,sat_k95,1167,698.96,2332,1486.654,3496,1537.614,6036162
240,sat_k95_p,1173,354.805,2389,654.363,3633,816.614,6036162
241,sat_slp_d,1008,21.135,1891,18.981,2379,41.778,94998
242,sat_slp,2477,21.906,3313,38.46,10528,54.246,302862
243,sat_slp_p,2830,10.283,3512,12.11,10846,22.952,302862
244,sat_030_d,4554,248.091,1680,109.926,5528,273.967,361750
245,sat_030,13016,84.575,26032,181.603,39048,181.273,1934720
246,sat_030_p,13016,77.288,26032,130.997,39048,146.108,1934720
247,sat_050_d,7037,481.588,7096,348.121,7081,599.103,602670
248,sat_050,13016,186.052,26032,282.339,39048,310.041,3224280
249,sat_050_p,13016,144.792,26032,239.918,39048,274.9,3224280
250,sat_UCG-10p0_d,600,33.16,1406,50.869,1630,67.217,199304
251,sat_UCG-10p0,3316,55.572,8314,87.082,10712,105.558,1005834
252,sat_UCG-10p0_p,3712,25.599,8685,44.137,10853,63.684,1005834
253,sat_UCG-10p1_d,603,38.858,1310,52.742,1593,73.739,200003
254,sat_UCG-10p1,3636,51.874,9006,106.656,11674,121.929,1019221
255,sat_UCG-10p1_p,4052,34.841,9590,52.131,11668,75.198,1019221
